,GeneName,up1.5,up2,up5,up10,dn1.5,dn2,dn5,dn10,all,unchange1.5,unchange2,unchange5,unchange10,HN1.5,HN2,HN5,HN10
4225,Cyp4f16,46,26,6,2,51,30,9,4,242,145,186,227,236,-5,-4,-3,-2
19692,Tnfaip6,75,49,7,3,60,34,10,8,242,107,159,225,231,15,15,-3,-5
8184,Grk2,57,32,5,4,37,25,8,3,242,148,185,229,235,20,7,-3,1
20325,Tspyl4,29,13,2,1,78,46,5,0,242,135,183,235,241,-49,-33,-3,1
2438,Caprin1,27,14,3,2,38,20,6,3,242,177,208,233,237,-11,-6,-3,-1
4691,Dmrt2,49,27,2,1,39,20,5,1,242,154,195,235,240,10,7,-3,0
10522,Lmln,27,10,1,0,67,34,4,0,242,148,198,237,242,-40,-24,-3,0
8196,Grm8,32,19,2,0,29,19,5,4,242,181,204,235,238,3,0,-3,-4
6663,Glt6d1,8,7,1,0,8,7,4,3,242,226,228,237,239,0,0,-3,-3
2720,Ccl26,2,1,1,1,5,5,4,4,242,235,236,237,237,-3,-4,-3,-3
10524,Lmnb1,46,17,2,0,57,28,5,3,242,139,197,235,239,-11,-11,-3,-3
13706,Olfr704,42,23,3,0,66,41,6,1,242,134,178,233,241,-24,-18,-3,-1
16965,Scrib,35,26,4,2,53,28,7,3,242,154,188,231,237,-18,-2,-3,-1
8199,Grpel1,34,16,2,2,33,19,5,2,242,175,207,235,238,1,-3,-3,0
9966,Kifap3,29,14,2,2,61,31,5,0,242,152,197,235,240,-32,-17,-3,2
14968,Pnrc2,51,30,9,3,58,44,12,4,242,133,168,221,235,-7,-14,-3,-1
8201,Grpr,27,8,0,0,45,26,3,1,242,170,208,239,241,-18,-18,-3,-1
3220,Cgnl1,38,24,4,2,42,23,7,1,242,162,195,231,239,-4,1,-3,1
14956,Pnp,48,33,5,2,50,24,8,4,242,144,185,229,236,-2,9,-3,-2
8202,Grrp1,50,33,4,0,48,29,7,2,242,144,180,231,240,2,4,-3,-2
3873,Crkl,50,25,3,2,42,22,6,1,242,150,195,233,239,8,3,-3,1
17699,Slc39a7,36,20,4,2,46,25,7,4,242,160,197,231,236,-10,-5,-3,-2
3872,Crk,34,15,3,2,42,18,6,2,242,166,209,233,238,-8,-3,-3,0
80,1700025C18Rik,6,4,0,0,9,8,3,0,242,227,230,239,242,-3,-4,-3,0
20329,Tsr3,28,11,2,2,43,17,5,2,242,171,214,235,238,-15,-6,-3,0
1616,Asz1,16,10,1,0,23,16,4,0,242,203,216,237,242,-7,-6,-3,0
19682,Tmub2,37,14,2,2,46,21,5,1,242,159,207,235,239,-9,-7,-3,1
6377,Gale,37,21,3,2,72,38,6,2,242,133,183,233,238,-35,-17,-3,0
19885,Traj30,1,1,0,0,3,3,3,3,242,238,238,239,239,-2,-2,-3,-3
14687,Pik3cg,23,8,0,0,32,14,3,1,242,187,220,239,241,-9,-6,-3,-1
10514,Lman2l,70,37,3,2,39,22,6,3,242,133,183,233,237,31,15,-3,-1
10513,Lman2,30,20,2,2,36,19,5,3,242,176,203,235,237,-6,1,-3,-1
2634,Ccdc201,11,11,3,1,21,19,6,0,242,210,212,233,241,-10,-8,-3,1
9975,Kirrel,44,19,2,0,47,30,5,2,242,151,193,235,240,-3,-11,-3,-2
10515,Lmbr1,24,16,4,1,80,42,7,1,242,138,184,231,240,-56,-26,-3,0
3877,Crls1,31,21,2,2,50,29,5,0,242,161,192,235,240,-19,-8,-3,2
4688,Dmp1,30,18,3,1,34,16,6,1,242,178,208,233,240,-4,2,-3,0
356,9130008F23Rik,76,52,7,3,59,33,10,5,242,107,157,225,234,17,19,-3,-2
3879,Crnkl1,43,19,2,2,28,14,5,1,242,171,209,235,239,15,5,-3,1
21247,Vps4b,32,12,2,2,58,36,5,2,242,152,194,235,238,-26,-24,-3,0
16962,Scp2d1,10,9,4,2,18,17,7,3,242,214,216,231,237,-8,-8,-3,-1
9977,Kirrel3,51,34,2,0,62,34,5,1,242,129,174,235,241,-11,0,-3,-1
19671,Tmsb10,39,24,7,4,51,36,10,4,242,152,182,225,234,-12,-12,-3,0
8194,Grm6,18,11,0,0,12,6,3,0,242,212,225,239,242,6,5,-3,0
14954,Pno1,36,22,2,2,32,20,5,3,242,174,200,235,237,4,2,-3,-1
6666,Gltp,54,31,3,3,45,23,6,2,242,143,188,233,237,9,8,-3,1
6380,Galm,43,17,3,3,55,35,6,1,242,144,190,233,238,-12,-18,-3,2
14949,Pnma5,42,26,2,0,43,23,5,0,242,157,193,235,242,-1,3,-3,0
14672,Pigv,36,20,2,2,44,28,5,1,242,162,194,235,239,-8,-8,-3,1
13694,Olfr692,17,14,3,0,31,26,6,1,242,194,202,233,241,-14,-12,-3,-1
17695,Slc39a3,26,9,3,2,55,32,6,2,242,161,201,233,238,-29,-23,-3,0
7789,Gm7697,18,10,2,0,32,17,5,3,242,192,215,235,239,-14,-7,-3,-3
10498,Lipo2,33,26,4,0,55,38,7,2,242,154,178,231,240,-22,-12,-3,-2
6387,Galnt14,38,21,4,2,44,32,7,3,242,160,189,231,237,-6,-11,-3,-1
20488,Tyw1,28,18,2,2,40,16,5,1,242,174,208,235,239,-12,2,-3,1
4068,Cul5,28,18,2,2,55,28,5,2,242,159,196,235,238,-27,-10,-3,0
20444,Tunar,26,16,0,0,48,21,3,0,242,168,205,239,242,-22,-5,-3,0
14720,Pir,53,34,6,2,55,33,9,4,242,134,175,227,236,-2,1,-3,-2
2436,Capns1,31,13,3,2,41,23,6,1,242,170,206,233,239,-10,-10,-3,1
17701,Slc39a9,42,22,5,3,53,30,8,2,242,147,190,229,237,-11,-8,-3,1
4667,Dlk2,59,39,7,0,70,43,10,3,242,113,160,225,239,-11,-4,-3,-3
21136,Vmn2r27,51,29,4,1,59,31,7,1,242,132,182,231,240,-8,-2,-3,0
19640,Tmem95,75,53,14,4,57,40,17,8,242,110,149,211,230,18,13,-3,-4
18118,Sp100,62,31,5,2,57,36,8,4,242,123,175,229,236,5,-5,-3,-2
18121,Sp2,29,10,3,3,64,35,6,2,242,149,197,233,237,-35,-25,-3,1
1418,Arhgap44,31,10,2,0,57,24,5,0,242,154,208,235,242,-26,-14,-3,0
7787,Gm7609,59,46,10,5,68,52,13,3,242,115,144,219,234,-9,-6,-3,2
3205,Cfdp1,36,18,3,3,34,18,6,3,242,172,206,233,236,2,0,-3,0
21876,Zfp583,63,35,10,3,48,33,13,4,242,131,174,219,235,15,2,-3,-1
2730,Ccm2,43,27,3,2,57,28,6,3,242,142,187,233,237,-14,-1,-3,-1
3857,Crh,14,11,1,0,24,23,4,0,242,204,208,237,242,-10,-12,-3,0
3863,Crip2,48,30,6,2,50,28,9,2,242,144,184,227,238,-2,2,-3,0
21877,Zfp59,32,14,3,0,74,50,6,2,242,136,178,233,240,-42,-36,-3,-2
18674,Svop,29,16,6,3,44,31,9,5,242,169,195,227,234,-15,-15,-3,-2
16749,Rxra,38,14,3,2,49,28,6,3,242,155,200,233,237,-11,-14,-3,-1
8205,Grwd1,53,22,2,2,48,26,5,2,242,141,194,235,238,5,-4,-3,0
22161,Znrf3,42,22,6,3,65,33,9,4,242,135,187,227,235,-23,-11,-3,-1
19659,Tmprss11f,29,16,4,2,26,16,7,3,242,187,210,231,237,3,0,-3,-1
13688,Olfr686,14,6,0,0,30,22,3,3,242,198,214,239,239,-16,-16,-3,-3
9574,Irf2,55,31,7,2,63,44,10,4,242,124,167,225,236,-8,-13,-3,-2
8208,Gsap,29,18,5,2,70,49,8,4,242,143,175,229,236,-41,-31,-3,-2
19924,Trappc1,37,20,3,2,59,31,6,4,242,146,191,233,236,-22,-11,-3,-2
19657,Tmprss11d,60,39,8,2,50,34,11,3,242,132,169,223,237,10,5,-3,-1
14711,Pip4k2b,40,19,4,1,61,33,7,1,242,141,190,231,240,-21,-14,-3,0
4715,Dnah10,44,22,6,0,28,19,9,7,242,170,201,227,235,16,3,-3,-7
18600,Suclg2,36,26,6,2,49,30,9,4,242,157,186,227,236,-13,-4,-3,-2
14671,Pigu,39,22,5,2,40,19,8,2,242,163,201,229,238,-1,3,-3,0
14669,Pigs,34,17,2,2,59,32,5,4,242,149,193,235,236,-25,-15,-3,-2
9985,Klc1,41,21,2,2,39,24,5,1,242,162,197,235,239,2,-3,-3,1
16770,S100a7l2,2,1,1,1,6,6,4,2,242,234,235,237,239,-4,-5,-3,-1
21882,Zfp598,36,13,2,2,32,14,5,2,242,174,215,235,238,4,-1,-3,0
1618,Atad2,53,23,1,0,45,26,4,0,242,144,193,237,242,8,-3,-3,0
16972,Sctr,25,9,1,0,50,23,4,2,242,167,210,237,240,-25,-14,-3,-2
16954,Scnm1,33,19,5,3,54,25,8,6,242,155,198,229,233,-21,-6,-3,-3
6573,Gimap4,41,28,5,2,45,29,8,3,242,156,185,229,237,-4,-1,-3,-1
1383,Arfip1,48,30,4,2,38,19,7,3,242,156,193,231,237,10,11,-3,-1
10576,Lrat,29,15,5,1,61,38,8,1,242,152,189,229,240,-32,-23,-3,0
6695,Gm10190,25,23,22,19,30,29,25,23,242,187,190,195,200,-5,-6,-3,-4
17964,Smtnl1,27,15,0,0,45,28,3,0,242,170,199,239,242,-18,-13,-3,0
18664,Sv2b,16,10,1,0,42,30,4,0,242,184,202,237,242,-26,-20,-3,0
13430,Olfr39,55,30,7,2,68,43,10,3,242,119,169,225,237,-13,-13,-3,-1
8345,H2-Aa,41,30,8,2,45,34,11,2,242,156,178,223,238,-4,-4,-3,0
8346,H2-Ab1,42,26,5,3,41,23,8,3,242,159,193,229,236,1,3,-3,0
18162,Spata21,40,21,3,2,49,31,6,2,242,153,190,233,238,-9,-10,-3,0
10677,Lrrc8b,33,12,4,1,81,60,7,0,242,128,170,231,241,-48,-48,-3,1
13424,Olfr380,58,40,8,2,44,29,11,5,242,140,173,223,235,14,11,-3,-3
19906,Traj50,0,0,0,0,3,3,3,3,242,239,239,239,239,-3,-3,-3,-3
9896,Kdm3b,29,14,2,2,46,27,5,1,242,167,201,235,239,-17,-13,-3,1
16999,Sdhd,34,19,2,2,47,26,5,3,242,161,197,235,237,-13,-7,-3,-1
15435,Prps1l1,13,6,2,1,21,18,5,4,242,208,218,235,237,-8,-12,-3,-3
16664,Rsbn1,41,22,4,1,52,31,7,0,242,149,189,231,241,-11,-9,-3,1
3081,Cenpk,57,34,10,4,76,52,13,6,242,109,156,219,232,-19,-18,-3,-2
8361,H2-M10.4,11,8,0,0,9,7,3,0,242,222,227,239,242,2,1,-3,0
6308,Fzd1,53,30,6,2,67,40,9,0,242,122,172,227,240,-14,-10,-3,2
19509,Tmem202,41,28,9,1,61,44,12,4,242,140,170,221,237,-20,-16,-3,-3
13415,Olfr368,3,2,1,0,14,14,4,0,242,225,226,237,242,-11,-12,-3,0
9889,Kdelr3,48,25,4,0,52,29,7,1,242,142,188,231,241,-4,-4,-3,-1
4943,Dusp13,55,42,13,1,63,52,16,10,242,124,148,213,231,-8,-10,-3,-9
13410,Olfr361,40,17,0,0,57,38,3,1,242,145,187,239,241,-17,-21,-3,-1
4945,Dusp15,46,29,7,1,59,38,10,4,242,137,175,225,237,-13,-9,-3,-3
4947,Dusp18,49,31,6,0,66,40,9,1,242,127,171,227,241,-17,-9,-3,-1
15439,Prpsap2,41,13,2,2,45,23,5,2,242,156,206,235,238,-4,-10,-3,0
8360,H2-M10.3,11,8,1,1,14,11,4,1,242,217,223,237,240,-3,-3,-3,0
7735,Gm6351,17,16,7,5,28,21,10,5,242,197,205,225,232,-11,-5,-3,0
17001,Sdk2,28,11,0,0,32,16,3,0,242,182,215,239,242,-4,-5,-3,0
16658,Rrp8,50,26,2,2,48,20,5,2,242,144,196,235,238,2,6,-3,0
19518,Tmem212,18,14,6,3,32,28,9,4,242,192,200,227,235,-14,-14,-3,-1
4150,Cyp26c1,51,27,1,0,50,34,4,2,242,141,181,237,240,1,-7,-3,-2
4113,Cyb5a,35,22,5,3,46,27,8,6,242,161,193,229,233,-11,-5,-3,-3
16668,Rskr,82,59,10,3,59,48,13,6,242,101,135,219,233,23,11,-3,-3
9512,Ints11,30,13,3,2,39,21,6,3,242,173,208,233,237,-9,-8,-3,-1
4892,Drg2,35,20,3,2,38,18,6,3,242,169,204,233,237,-3,2,-3,-1
20830,Vasp,39,11,2,2,48,23,5,1,242,155,208,235,239,-9,-12,-3,1
8325,Gzmc,18,15,4,1,23,21,7,4,242,201,206,231,237,-5,-6,-3,-3
15429,Prpf6,31,12,2,2,37,12,5,2,242,174,218,235,238,-6,0,-3,0
20605,Uckl1,28,16,5,2,41,21,8,1,242,173,205,229,239,-13,-5,-3,1
4902,Dsel,35,16,2,0,71,48,5,2,242,136,178,235,240,-36,-32,-3,-2
19535,Tmem232,31,16,3,1,45,27,6,4,242,166,199,233,237,-14,-11,-3,-3
10661,Lrrc58,43,23,2,2,56,39,5,1,242,143,180,235,239,-13,-16,-3,1
7747,Gm6525,70,49,12,4,68,48,15,6,242,104,145,215,232,2,1,-3,-2
9908,Kdm8,28,13,3,0,66,34,6,2,242,148,195,233,240,-38,-21,-3,-2
16673,Rsph1,40,25,4,1,46,29,7,1,242,156,188,231,240,-6,-4,-3,0
14899,Pls1,29,18,3,2,55,20,6,0,242,158,204,233,240,-26,-2,-3,2
20831,Vat1,59,28,3,3,53,22,6,1,242,130,192,233,238,6,6,-3,2
2395,Camk1,46,29,5,3,39,27,8,3,242,157,186,229,236,7,2,-3,0
13445,Olfr410,34,19,0,0,31,19,3,0,242,177,204,239,242,3,0,-3,0
10667,Lrrc69,40,23,9,4,58,44,12,4,242,144,175,221,234,-18,-21,-3,0
18659,Susd6,54,29,3,2,45,30,6,2,242,143,183,233,238,9,-1,-3,0
3234,Chchd2,53,29,5,3,22,12,8,2,242,167,201,229,237,31,17,-3,1
14809,Plcb2,25,9,1,0,55,24,4,0,242,162,209,237,242,-30,-15,-3,0
14810,Plcb3,39,18,3,2,41,23,6,2,242,162,201,233,238,-2,-5,-3,0
9510,Ints1,36,14,2,1,40,19,5,3,242,166,209,235,238,-4,-5,-3,-2
9901,Kdm5a,41,18,2,2,56,29,5,0,242,145,195,235,240,-15,-11,-3,2
14812,Plcd1,51,22,3,0,62,32,6,4,242,129,188,233,238,-11,-10,-3,-4
13436,Olfr395,31,13,0,0,27,17,3,0,242,184,212,239,242,4,-4,-3,0
4921,Dtnbp1,30,12,3,2,40,25,6,2,242,172,205,233,238,-10,-13,-3,0
17962,Sms,44,29,7,3,52,31,10,2,242,146,182,225,237,-8,-2,-3,1
19508,Tmem201,45,23,3,2,41,18,6,1,242,156,201,233,239,4,5,-3,1
18171,Spata31d1c,9,1,0,0,8,5,3,3,242,225,236,239,239,1,-4,-3,-3
22174,Zranb3,45,21,0,0,57,30,3,0,242,140,191,239,242,-12,-9,-3,0
4133,Cylc1,3,1,0,0,14,10,3,3,242,225,231,239,239,-11,-9,-3,-3
17003,Sdr16c6,5,1,0,0,16,12,3,1,242,221,229,239,241,-11,-11,-3,-1
3749,Cox4i1,29,18,3,2,40,17,6,2,242,173,207,233,238,-11,1,-3,0
431,Aacs,37,13,2,2,59,37,5,2,242,146,192,235,238,-22,-24,-3,0
4135,Cyld,41,20,2,2,47,24,5,1,242,154,198,235,239,-6,-4,-3,1
19497,Tmem19,46,29,6,2,58,34,9,7,242,138,179,227,233,-12,-5,-3,-5
1336,Apol8,54,36,14,5,54,41,17,8,242,134,165,211,229,0,-5,-3,-3
18192,Spcs2,33,14,4,2,44,28,7,3,242,165,200,231,237,-11,-14,-3,-1
14847,Plekhf2,40,20,2,2,49,23,5,1,242,153,199,235,239,-9,-3,-3,1
9862,Kcnv1,8,5,1,0,22,11,4,2,242,212,226,237,240,-14,-6,-3,-2
9494,Inppl1,44,22,2,2,41,20,5,2,242,157,200,235,238,3,2,-3,0
16636,Rpusd4,37,18,3,2,50,26,6,3,242,155,198,233,237,-13,-8,-3,-1
2357,Cacul1,45,24,2,2,44,20,5,0,242,153,198,235,240,1,4,-3,2
4134,Cylc2,2,2,0,0,8,4,3,0,242,232,236,239,242,-6,-2,-3,0
17976,Snai2,56,36,6,2,70,41,9,1,242,116,165,227,239,-14,-5,-3,1
1345,Appbp2,37,19,2,2,36,18,5,0,242,169,205,235,240,1,1,-3,2
2356,Cactin,37,14,2,1,38,15,5,1,242,167,213,235,240,-1,-1,-3,0
7401,Gm35315,41,25,5,0,77,40,8,2,242,124,177,229,240,-36,-15,-3,-2
440,Aadacl4fm2,3,2,0,0,15,9,3,0,242,224,231,239,242,-12,-7,-3,0
15460,Prr36,43,21,2,1,47,29,5,1,242,152,192,235,240,-4,-8,-3,0
17988,Snapc5,36,17,4,4,45,29,7,2,242,161,196,231,236,-9,-12,-3,2
14859,Plekhm2,32,13,3,2,70,37,6,1,242,140,192,233,239,-38,-24,-3,1
17591,Slc26a2,50,23,1,0,55,30,4,1,242,137,189,237,241,-5,-7,-3,-1
444,Aadat,35,24,3,2,51,40,6,0,242,156,178,233,240,-16,-16,-3,2
3,0610012G03Rik,30,12,3,3,32,19,6,3,242,180,211,233,236,-2,-7,-3,0
14871,Plin4,61,41,5,1,50,36,8,3,242,131,165,229,238,11,5,-3,-2
1816,B020031M17Rik,19,13,3,1,25,21,6,1,242,198,208,233,240,-6,-8,-3,0
17986,Snapc3,50,29,3,1,30,17,6,2,242,162,196,233,239,20,12,-3,-1
9872,Kctd15,65,33,2,2,45,26,5,1,242,132,183,235,239,20,7,-3,1
13360,Olfr303,3,1,0,0,9,8,3,3,242,230,233,239,239,-6,-7,-3,-3
9882,Kctd5,40,21,2,2,38,25,5,1,242,164,196,235,239,2,-4,-3,1
10713,Lsm3,39,23,4,2,53,29,7,4,242,150,190,231,236,-14,-6,-3,-2
4980,Dync2i1,45,26,4,0,53,32,7,2,242,144,184,231,240,-8,-6,-3,-2
14887,Plpp2,52,27,6,3,44,26,9,2,242,146,189,227,237,8,1,-3,1
10693,Lrrn3,24,12,2,0,67,41,5,1,242,151,189,235,241,-43,-29,-3,-1
16657,Rrp7a,37,12,2,2,48,22,5,2,242,157,208,235,238,-11,-10,-3,0
4141,Cyp19a1,34,16,1,0,33,18,4,0,242,175,208,237,242,1,-2,-3,0
10696,Lrrtm1,24,8,0,0,46,22,3,1,242,172,212,239,241,-22,-14,-3,-1
17,1110059G10Rik,32,21,6,4,66,50,9,3,242,144,171,227,235,-34,-29,-3,1
3756,Cox6b1,38,29,7,3,41,25,10,8,242,163,188,225,231,-3,4,-3,-5
20834,Vav2,35,13,2,2,48,23,5,1,242,159,206,235,239,-13,-10,-3,1
7413,Gm36210,49,32,3,0,67,44,6,2,242,126,166,233,240,-18,-12,-3,-2
8373,H2-Q2,56,41,6,2,55,32,9,1,242,131,169,227,239,1,9,-3,1
16656,Rrp36,44,16,2,2,29,14,5,2,242,169,212,235,238,15,2,-3,0
20835,Vav3,41,24,4,2,62,36,7,2,242,139,182,231,238,-21,-12,-3,0
16653,Rrp12,38,19,3,1,50,30,6,1,242,154,193,233,240,-12,-11,-3,0
6895,Gm14180,0,0,0,0,3,3,3,3,242,239,239,239,239,-3,-3,-3,-3
4968,Dvl3,46,26,5,2,42,22,8,3,242,154,194,229,237,4,4,-3,-1
13375,Olfr318,33,12,1,0,59,32,4,0,242,150,198,237,242,-26,-20,-3,0
15447,Prr16,37,17,2,1,28,17,5,3,242,177,208,235,238,9,0,-3,-2
2984,Cdk2,38,17,4,1,48,27,7,1,242,156,198,231,240,-10,-10,-3,0
20839,Vcam1,61,37,8,4,54,34,11,7,242,127,171,223,231,7,3,-3,-3
16652,Rrp1,35,16,2,2,41,23,5,1,242,166,203,235,239,-6,-7,-3,1
22206,Zw10,26,16,2,2,45,23,5,1,242,171,203,235,239,-19,-7,-3,1
9860,Kcnt2,38,27,5,1,41,27,8,2,242,163,188,229,239,-3,0,-3,-1
22208,Zwint,42,22,3,2,41,15,6,2,242,159,205,233,238,1,7,-3,0
4975,Dync1i1,38,22,1,1,42,21,4,2,242,162,199,237,239,-4,1,-3,-1
2983,Cdk19,35,18,3,1,69,51,6,1,242,138,173,233,240,-34,-33,-3,0
4117,Cyb5r1,44,28,5,2,46,25,8,4,242,152,189,229,236,-2,3,-3,-2
3750,Cox4i2,63,41,5,1,42,27,8,2,242,137,174,229,239,21,14,-3,-1
10659,Lrrc56,36,27,5,3,73,45,8,1,242,133,170,229,238,-37,-18,-3,2
7748,Gm6526,16,12,4,2,39,30,7,3,242,187,200,231,237,-23,-18,-3,-1
33,1700001L19Rik,49,33,5,3,69,45,8,4,242,124,164,229,235,-20,-12,-3,-1
4822,Dok2,51,26,3,0,69,42,6,3,242,122,174,233,239,-18,-16,-3,-3
14983,Pogz,42,22,2,2,44,26,5,1,242,156,194,235,239,-2,-4,-3,1
10596,Lrit1,6,1,0,0,17,15,3,0,242,219,226,239,242,-11,-14,-3,0
3824,Cr1l,30,19,5,2,56,29,8,4,242,156,194,229,236,-26,-10,-3,-2
15411,Proser1,36,20,3,1,56,31,6,1,242,150,191,233,240,-20,-11,-3,0
3226,Chad,44,16,3,0,44,24,6,2,242,154,202,233,240,0,-8,-3,-2
13571,Olfr56,54,35,4,2,57,31,7,0,242,131,176,231,240,-3,4,-3,2
9540,Ippk,50,22,3,2,46,26,6,2,242,146,194,233,238,4,-4,-3,0
4173,Cyp2c66,18,13,4,1,21,17,7,6,242,203,212,231,235,-3,-4,-3,-5
7466,Gm42421,55,42,17,11,55,40,20,8,242,132,160,205,223,0,2,-3,3
18145,Spag6,47,31,11,4,53,35,14,4,242,142,176,217,234,-6,-4,-3,0
8277,Gtf3c2,23,11,2,2,64,28,5,3,242,155,203,235,237,-41,-17,-3,-1
4821,Dok1,52,23,4,1,52,30,7,3,242,138,189,231,238,0,-7,-3,-2
6341,Gabpb2,36,16,2,2,52,31,5,2,242,154,195,235,238,-16,-15,-3,0
3817,Cpt2,34,15,2,2,71,43,5,3,242,137,184,235,237,-37,-28,-3,-1
409,A630076J17Rik,19,17,2,1,44,31,5,1,242,179,194,235,240,-25,-14,-3,0
22183,Zscan22,36,18,2,2,70,37,5,0,242,136,187,235,240,-34,-19,-3,2
14772,Pla2g15,44,27,5,1,74,42,8,4,242,124,173,229,237,-30,-15,-3,-3
8278,Gtf3c3,22,12,2,2,57,31,5,0,242,163,199,235,240,-35,-19,-3,2
15414,Prox1,23,13,1,0,47,22,4,2,242,172,207,237,240,-24,-9,-3,-2
17652,Slc35c2,36,25,3,2,47,18,6,3,242,159,199,233,237,-11,7,-3,-1
13551,Olfr539,40,14,1,0,54,31,4,2,242,148,197,237,240,-14,-17,-3,-2
13550,Olfr538,7,4,0,0,13,13,3,0,242,222,225,239,242,-6,-9,-3,0
14773,Pla2g1b,37,30,20,7,50,43,23,11,242,155,169,199,224,-13,-13,-3,-4
19577,Tmem30a,28,16,4,2,61,29,7,2,242,153,197,231,238,-33,-13,-3,0
8283,Gtpbp10,41,25,5,3,69,38,8,2,242,132,179,229,237,-28,-13,-3,1
4100,Cxcr1,27,23,5,0,34,30,8,4,242,181,189,229,238,-7,-7,-3,-4
7462,Gm42372,66,38,8,1,50,31,11,1,242,126,173,223,240,16,7,-3,0
17162,Serpinb6d,10,10,1,0,18,17,4,0,242,214,215,237,242,-8,-7,-3,0
4804,Dnttip1,34,21,3,1,34,16,6,4,242,174,205,233,237,0,5,-3,-3
4803,Dntt,30,15,2,1,27,20,5,4,242,185,207,235,237,3,-5,-3,-3
8266,Gtf2f2,28,16,2,2,39,15,5,2,242,175,211,235,238,-11,1,-3,0
16989,Sdf2,44,23,3,2,42,23,6,2,242,156,196,233,238,2,0,-3,0
15409,Prorsd1,48,30,9,4,44,24,12,6,242,150,188,221,232,4,6,-3,-2
17945,Smok2a,15,9,2,1,39,27,5,0,242,188,206,235,241,-24,-18,-3,1
1388,Arglu1,36,22,3,2,40,18,6,2,242,166,202,233,238,-4,4,-3,0
18134,Spaca5,16,14,10,2,28,27,13,8,242,198,201,219,232,-12,-13,-3,-6
3074,Cenpb,32,21,4,2,77,40,7,4,242,133,181,231,236,-45,-19,-3,-2
4777,Dnajc9,43,20,3,3,37,23,6,2,242,162,199,233,237,6,-3,-3,1
13608,Olfr600,48,22,5,2,42,23,8,1,242,152,197,229,239,6,-1,-3,1
7477,Gm42906,16,15,10,10,16,14,13,11,242,210,213,219,221,0,1,-3,-1
20818,Vamp5,39,24,7,4,70,35,10,6,242,133,183,225,232,-31,-11,-3,-2
19603,Tmem53,36,25,8,4,81,57,11,4,242,125,160,223,234,-45,-32,-3,0
9545,Iqcc,42,27,4,2,58,29,7,3,242,142,186,231,237,-16,-2,-3,-1
8249,Gstp2,49,37,12,7,63,42,15,7,242,130,163,215,228,-14,-5,-3,0
1801,Awat1,10,9,0,0,14,9,3,2,242,218,224,239,240,-4,0,-3,-2
2420,Cap1,42,25,3,2,48,22,6,2,242,152,195,233,238,-6,3,-3,0
9929,Kif13a,40,21,6,4,62,32,9,2,242,140,189,227,236,-22,-11,-3,2
20821,Vangl1,43,22,6,1,76,54,9,2,242,123,166,227,239,-33,-32,-3,-1
8255,Gstz1,31,17,3,2,46,28,6,3,242,165,197,233,237,-15,-11,-3,-1
1385,Arfrp1,28,14,2,2,34,16,5,1,242,180,212,235,239,-6,-2,-3,1
20708,Uqcrfs1,29,16,3,3,34,23,6,2,242,179,203,233,237,-5,-7,-3,1
19915,Traj9,1,0,0,0,3,3,3,3,242,238,239,239,239,-2,-3,-3,-3
14759,Pkn1,38,23,4,2,48,27,7,1,242,156,192,231,239,-10,-4,-3,1
18658,Susd5,21,10,0,0,40,23,3,0,242,181,209,239,242,-19,-13,-3,0
57,1700015G11Rik,12,8,6,3,12,11,9,7,242,218,223,227,232,0,-3,-3,-4
20707,Uqcrc2,35,24,5,3,42,23,8,3,242,165,195,229,236,-7,1,-3,0
2414,Camta1,32,15,2,0,44,24,5,4,242,166,203,235,238,-12,-9,-3,-4
21256,Vrk1,40,21,4,1,53,31,7,3,242,149,190,231,238,-13,-10,-3,-2
22178,Zscan12,30,13,2,1,66,40,5,1,242,146,189,235,240,-36,-27,-3,0
1659,Atmin,37,18,3,2,62,29,6,1,242,143,195,233,239,-25,-11,-3,1
9922,Khdrbs3,33,23,5,2,51,31,8,1,242,158,188,229,239,-18,-8,-3,1
18002,Snph,45,22,1,0,50,31,4,3,242,147,189,237,239,-5,-9,-3,-3
6326,G6pc2,22,13,1,0,31,14,4,1,242,189,215,237,241,-9,-1,-3,-1
7454,Gm39566,16,6,0,0,16,7,3,0,242,210,229,239,242,0,-1,-3,0
19559,Tmem255b,39,31,3,1,54,44,6,0,242,149,167,233,241,-15,-13,-3,1
13497,Olfr479,34,16,1,1,39,22,4,1,242,169,204,237,240,-5,-6,-3,0
1363,Araf,37,23,3,2,41,20,6,3,242,164,199,233,237,-4,3,-3,-1
16695,Rtf2,38,19,2,2,28,12,5,3,242,176,211,235,237,10,7,-3,-1
2760,Ccnl2,36,14,2,2,37,20,5,1,242,169,208,235,239,-1,-6,-3,1
16691,Rtca,28,17,3,2,38,19,6,2,242,176,206,233,238,-10,-2,-3,0
1658,Atm,40,24,4,1,65,38,7,0,242,137,180,231,241,-25,-14,-3,1
9847,Kcnn2,29,12,1,0,37,21,4,0,242,176,209,237,242,-8,-9,-3,0
18583,Stx5a,37,17,3,3,42,18,6,1,242,163,207,233,238,-5,-1,-3,2
10643,Lrrc3b,30,15,5,1,44,32,8,1,242,168,195,229,240,-14,-17,-3,0
13489,Olfr47,5,5,1,0,11,9,4,0,242,226,228,237,242,-6,-4,-3,0
2403,Camk2n2,50,30,5,0,61,36,8,2,242,131,176,229,240,-11,-6,-3,-2
21848,Zfp513,53,31,5,3,48,22,8,1,242,141,189,229,238,5,9,-3,2
