,GeneName,up1.5,up2,up5,up10,dn1.5,dn2,dn5,dn10,all,unchange1.5,unchange2,unchange5,unchange10,HN1.5,HN2,HN5,HN10
7451,Gm38999,39,37,22,13,11,8,6,5,242,192,197,214,224,28,29,16,8
10763,Ly6g6d,56,51,22,6,45,33,6,3,242,141,158,214,233,11,18,16,3
7694,Gm5741,54,49,40,33,49,40,24,22,242,139,153,178,187,5,9,16,11
850,AF366264,67,50,21,9,40,25,5,0,242,135,167,216,233,27,25,16,9
8452,H3c8,69,55,33,18,60,44,17,8,242,113,143,192,216,9,11,16,10
11929,Myocos,40,38,22,8,22,19,6,3,242,180,185,214,231,18,19,16,5
2013,Best3,67,48,18,8,29,16,2,0,242,146,178,222,234,38,32,16,8
18309,Spry4,73,47,19,7,43,24,3,2,242,126,171,220,233,30,23,16,5
650,Actc1,67,52,21,12,25,12,5,4,242,150,178,216,226,42,40,16,8
1595,Asns,71,48,18,8,30,12,2,1,242,141,182,222,233,41,36,16,7
1321,Apoc3,53,43,24,8,22,17,9,4,242,167,182,209,230,31,26,15,4
5987,Fermt3,85,60,21,6,48,29,6,3,242,109,153,215,233,37,31,15,3
2233,Btg2,78,51,19,5,41,25,4,0,242,123,166,219,237,37,26,15,5
1319,Apoc1,60,43,26,13,30,24,11,11,242,152,175,205,218,30,19,15,2
6753,Gm10720,33,30,22,12,15,12,7,5,242,194,200,213,225,18,18,15,7
2024,Bglap,47,43,36,24,34,29,21,10,242,161,170,185,208,13,14,15,14
7378,Gm3376,22,21,17,9,3,3,2,1,242,217,218,223,232,19,18,15,8
12373,Nme5,60,48,24,10,60,38,9,4,242,122,156,209,228,0,10,15,6
2324,Cabp5,81,56,17,5,46,27,2,1,242,115,159,223,236,35,29,15,4
9089,Ighg2c,42,39,21,10,22,20,6,3,242,178,183,215,229,20,19,15,7
6762,Gm10800,80,67,37,23,53,45,22,11,242,109,130,183,208,27,22,15,12
6763,Gm10801,66,60,39,24,49,43,24,9,242,127,139,179,209,17,17,15,15
8975,Ifi205,75,61,24,5,43,31,9,6,242,124,150,209,231,32,30,15,-1
14095,P4ha1,100,60,19,4,27,12,4,1,242,115,170,219,237,73,48,15,3
7259,Gm28035,72,56,22,7,48,34,7,3,242,122,152,213,232,24,22,15,4
8693,Hmgcs2,73,54,20,11,37,22,5,0,242,132,166,217,231,36,32,15,11
2632,Ccdc194,80,59,20,9,42,24,5,0,242,120,159,217,233,38,35,15,9
6264,Fthl17c,24,23,17,8,9,5,2,2,242,209,214,223,232,15,18,15,6
3914,Crygs,61,55,20,6,39,31,5,1,242,142,156,217,235,22,24,15,5
21486,Xlr5b,43,37,21,7,21,21,6,5,242,178,184,215,230,22,16,15,2
15530,Psca,62,55,26,9,55,44,11,6,242,125,143,205,227,7,11,15,3
3434,Cldn7,62,46,24,13,40,28,9,6,242,140,168,209,223,22,18,15,7
12388,Nmu,45,36,21,10,24,19,6,1,242,173,187,215,231,21,17,15,9
16156,Retn,90,64,29,10,55,41,14,6,242,97,137,199,226,35,23,15,4
9557,Iqcn,73,50,15,5,24,10,0,0,242,145,182,227,237,49,40,15,5
8701,Hmox1,110,78,15,5,24,12,1,1,242,108,152,226,236,86,66,14,4
8948,Id1,87,61,20,8,51,38,6,0,242,104,143,216,234,36,23,14,8
8887,Hspe1-rs1,100,80,41,24,40,36,27,15,242,102,126,174,203,60,44,14,9
8513,Havcr1,40,26,16,11,33,17,2,0,242,169,199,224,231,7,9,14,11
14203,Parvg,70,51,21,10,57,45,7,3,242,115,146,214,229,13,6,14,7
396,A3galt2,86,59,18,4,35,18,4,1,242,121,165,220,237,51,41,14,3
8630,Hhatl,69,51,23,11,49,27,9,2,242,124,164,210,229,20,24,14,9
