human symbol,mouse symbol,human,mouse,Total,HSF1 average peak,HSF2 average peak,PPARGC1A average peak
ACOT8,Acot8,7,0,7,1.61165,0,0
ACOT9,Acot9,1,-8,-7,2.932039,0,0
ACOX1,Acox1,11,0,11,4.970874,0,0
ACOX2,Acox2,4,-8,-4,0,0,0
ACOX3,Acox3,11,-2,9,57.912621,0,0
ACOXL,Acoxl,1,6,7,8.281553,0,0
ACP1,Acp1,9,-6,3,6.980583,0,0
ACP2,Acp2,5,-5,0,15.262136,0,0
ACP4,Acp4,-1,-12,-13,26.864078,0,0
ACP5,Acp5,2,1,3,0,0,0
ACP6,Acp6,-8,-3,-11,3.718447,0,0
ACP7,Acp7,2,3,5,6.553398,0,0
ACR,Acr,31,-10,21,4.631068,0,0
ACRBP,Acrbp,50,-9,41,0,0,0
ACRV1,Acrv1,3,-3,0,0,0,0
ACSBG1,Acsbg1,38,-2,36,0,0,0
ACSBG2,Acsbg2,16,2,18,7.786408,0,0
ACSF2,Acsf2,10,-2,8,3.825243,0,0
ACSF3,Acsf3,-4,-2,-6,23.456311,0,0
ACSL1,Acsl1,0,-8,-8,7.640777,0,0
ACSL3,Acsl3,7,0,7,4.883495,0,0
ACSL4,Acsl4,6,3,9,4.747573,0,0
ACSL5,Acsl5,2,-7,-5,0,0,0
ACSL6,Acsl6,0,-8,-8,0,0,0
ACSM1,Acsm1,14,1,15,0,0,0
ACSM3,Acsm3,2,-7,-5,0,0,0
ACSM4,Acsm4,1,-13,-12,0,0,0
ACSM5,Acsm5,-4,-1,-5,0,0,0
ACSS1,Acss1,3,4,7,0,0,0
ACSS2,Acss2,7,-3,4,3.621359,0,0
ACSS3,Acss3,-7,5,-2,1,0,0
ACTA1,Acta1,48,27,75,0,0,0
ACTA2,Acta2,7,-1,6,0,0,0
ACTB,Actb,11,-2,9,12.825243,0,0
ACTBL2,Actbl2,15,0,15,0,0,0
ACTC1,Actc1,11,16,27,0,0,0
ACTG1,Actg1,7,-2,5,0,0,0
ACTG2,Actg2,12,2,14,1.087379,0,0
ACTL10,Actl10,-6,-6,-12,2.92233,0,0
ACTL6A,Actl6a,4,0,4,4.825243,0,0
ACTL6B,Actl6b,0,3,3,0,0,0
ACTL7A,Actl7a,2,0,2,9.145631,0,0
ACTL7B,Actl7b,25,6,31,9.145631,0,0
ACTL9,Actl9,-1,-11,-12,0,0,0
ACTN1,Actn1,7,0,7,5.300971,0,0
ACTN2,Actn2,10,-6,4,0,0,0
ACTN3,Actn3,22,-3,19,4.126214,0,0
ACTN4,Actn4,7,-5,2,1.436893,0,0
ACTR10,Actr10,4,-8,-4,7.92233,0,0
ACTR1A,Actr1a,4,-4,0,2.84466,0,0
ACTR1B,Actr1b,-1,-5,-6,7.660194,0,0
ACTR2,Actr2,8,-2,6,3.631068,0,0
ACTR3,Actr3,7,-1,6,19.359223,0,0
ACTR3B,Actr3b,-5,-6,-11,17.485437,0,0
ACTR5,Actr5,-3,-2,-5,5.135922,0,0
ACTR6,Actr6,1,-11,-10,13.601942,0,0
ACTR8,Actr8,9,-6,3,5.68932,0,0
ACTRT1,Actrt1,0,0,0,0,0,0
ACTRT2,Actrt2,3,1,4,0,0,0
ACTRT3,Actrt3,126,-9,117,48.058252,0,0
ACVR1,Acvr1,-5,1,-4,3.640777,0,0
ACVR1B,Acvr1b,8,-7,1,13.330097,0,0
ACVR1C,Acvr1c,6,5,11,7.009709,0,0
ACVR2A,Acvr2a,7,-1,6,4.679612,0,0
ACVR2B,Acvr2b,5,-2,3,0,0,0
ACVRL1,Acvrl1,2,-5,-3,0,0,0
ACY1,Acy1,0,-6,-6,5,0,0
ACY3,Acy3,-2,-1,-3,0,0,0
ACYP1,Acyp1,4,-10,-6,3.747573,0,107
ACYP2,Acyp2,5,-6,-1,11.252427,3.333333,0
ADA,Ada,2,-4,-2,4.640777,0,0
ADAD1,Adad1,6,-3,3,0,0,0
ADAD2,Adad2,-1,1,0,5.485437,0,0
ADAL,Adal,6,-3,3,10.92233,0,0
ADAM10,Adam10,6,-5,1,1.815534,0,0
ADAM11,Adam11,7,0,7,0.873786,0,0
ADAM12,Adam12,-3,-5,-8,1.330097,0,0
ADAM15,Adam15,9,-4,5,5.883495,0,0
ADAM17,Adam17,9,-1,8,12.864078,0,0
ADAM18,Adam18,3,-4,-1,0,0,0
ADAM19,Adam19,-4,-10,-14,10.68932,4.291667,0
ADAM2,Adam2,0,-5,-5,0,0,0
ADAM20,Adam20,30,-7,23,0,0,0
ADAM21,Adam21,1,-7,-6,0,0,0
ADAM22,Adam22,0,-13,-13,7.320388,0,0
ADAM23,Adam23,1,0,1,0.902913,0,0
ADAM28,Adam28,-4,-4,-8,0,0,0
ADAM29,Adam29,2,-5,-3,0,0,0
ADAM30,Adam30,13,12,25,0,0,0
ADAM32,Adam32,25,-19,6,0,0,0
ADAM33,Adam33,0,2,2,0,0,0
ADAM7,Adam7,0,1,1,0,0,0
ADAM8,Adam8,4,1,5,0,0,0
ADAM9,Adam9,7,3,10,8.815534,0,0
ADAMDEC1,Adamdec1,0,-3,-3,0,0,0
ADAMTS1,Adamts1,1,9,10,0,0,0
ADAMTS10,Adamts10,4,-9,-5,0,0,0
