,human_symbol,human,mouse
122,ACAN,0.16838487972508592,0.19780219780219782
123,ACAP1,0.21993127147766323,0.18131868131868134
124,ACAP2,0.18900343642611683,0.15384615384615385
125,ACAP3,0.20962199312714777,0.15384615384615385
126,ACAT1,0.19931271477663232,0.14835164835164838
127,ACAT2,0.1718213058419244,0.17032967032967036
128,ACBD3,0.1958762886597938,0.16483516483516486
129,ACBD4,0.18900343642611683,0.17582417582417584
130,ACBD5,0.1958762886597938,0.14285714285714288
131,ACBD6,0.1958762886597938,0.15384615384615385
132,ACBD7,0.19243986254295534,0.2527472527472528
133,ACCS,0.1134020618556701,0.14835164835164838
134,ACCSL,0.16838487972508592,0.1263736263736264
135,ACD,0.1718213058419244,0.16483516483516486
136,ACE,0.20618556701030927,0.18681318681318684
137,ACE2,0.19931271477663232,0.20329670329670332
138,ACER1,0.1958762886597938,0.17032967032967036
139,ACER2,0.23367697594501718,0.18131868131868134
140,ACER3,0.18900343642611683,0.18131868131868134
141,ACHE,0.2920962199312715,0.18681318681318684
142,ACIN1,0.20962199312714777,0.15934065934065936
143,ACKR1,0.18556701030927836,0.16483516483516486
144,ACKR2,0.16494845360824742,0.14285714285714288
145,ACKR3,0.15463917525773196,0.15934065934065936
146,ACKR4,0.21305841924398627,0.18681318681318684
147,ACLY,0.1958762886597938,0.14835164835164838
148,ACMSD,0.18556701030927836,0.2197802197802198
149,ACO1,0.19931271477663232,0.15934065934065936
150,ACO2,0.21993127147766323,0.18131868131868134
151,ACOD1,0.1752577319587629,0.18131868131868134
152,ACOT1,0.18213058419243985,0.19230769230769232
153,ACOT11,0.1718213058419244,0.17582417582417584
154,ACOT12,0.16838487972508592,0.20329670329670332
155,ACOT13,0.19243986254295534,0.18681318681318684
156,ACOT2,0.18213058419243985,0.18681318681318684
157,ACOT4,0.19243986254295534,0.16483516483516486
158,ACOT6,0.18900343642611683,0.16483516483516486
159,ACOT7,0.20962199312714777,0.16483516483516486
160,ACOT8,0.2027491408934708,0.18131868131868134
161,ACOT9,0.18213058419243985,0.13736263736263737
162,ACOX1,0.21649484536082475,0.18131868131868134
163,ACOX2,0.19243986254295534,0.13736263736263737
164,ACOX3,0.21649484536082475,0.17032967032967036
165,ACOXL,0.18213058419243985,0.2142857142857143
166,ACP1,0.20962199312714777,0.14835164835164838
167,ACP2,0.1958762886597938,0.15384615384615385
168,ACP4,0.1752577319587629,0.1153846153846154
169,ACP5,0.18556701030927836,0.18681318681318684
170,ACP6,0.1512027491408935,0.16483516483516486
171,ACP7,0.18556701030927836,0.19780219780219782
172,ACR,0.2852233676975945,0.1263736263736264
173,ACRBP,0.35051546391752575,0.1318681318681319
174,ACRV1,0.18900343642611683,0.16483516483516486
175,ACSBG1,0.30927835051546393,0.17032967032967036
176,ACSBG2,0.23367697594501718,0.19230769230769232
177,ACSF2,0.21305841924398627,0.17032967032967036
178,ACSF3,0.16494845360824742,0.17032967032967036
179,ACSL1,0.17869415807560138,0.13736263736263737
180,ACSL3,0.2027491408934708,0.18131868131868134
181,ACSL4,0.19931271477663232,0.19780219780219782
182,ACSL5,0.18556701030927836,0.14285714285714288
183,ACSL6,0.17869415807560138,0.13736263736263737
184,ACSM1,0.2268041237113402,0.18681318681318684
185,ACSM3,0.18556701030927836,0.14285714285714288
186,ACSM4,0.18213058419243985,0.1098901098901099
187,ACSM5,0.16494845360824742,0.17582417582417584
188,ACSS1,0.18900343642611683,0.20329670329670332
189,ACSS2,0.2027491408934708,0.16483516483516486
190,ACSS3,0.15463917525773196,0.20879120879120883
191,ACTA1,0.3436426116838488,0.3296703296703297
192,ACTA2,0.2027491408934708,0.17582417582417584
193,ACTB,0.21649484536082475,0.17032967032967036
194,ACTBL2,0.2302405498281787,0.18131868131868134
195,ACTC1,0.21649484536082475,0.2692307692307693
196,ACTG1,0.2027491408934708,0.17032967032967036
197,ACTG2,0.21993127147766323,0.19230769230769232
198,ACTL10,0.15807560137457044,0.14835164835164838
199,ACTL6A,0.19243986254295534,0.18131868131868134
200,ACTL6B,0.17869415807560138,0.19780219780219782
201,ACTL7A,0.18556701030927836,0.18131868131868134
202,ACTL7B,0.2646048109965636,0.2142857142857143
203,ACTL9,0.1752577319587629,0.1208791208791209
204,ACTN1,0.2027491408934708,0.18131868131868134
205,ACTN2,0.21305841924398627,0.14835164835164838
206,ACTN3,0.2542955326460481,0.16483516483516486
207,ACTN4,0.2027491408934708,0.15384615384615385
208,ACTR10,0.19243986254295534,0.13736263736263737
209,ACTR1A,0.19243986254295534,0.15934065934065936
210,ACTR1B,0.1752577319587629,0.15384615384615385
211,ACTR2,0.20618556701030927,0.17032967032967036
212,ACTR3,0.2027491408934708,0.17582417582417584
213,ACTR3B,0.16151202749140894,0.14835164835164838
214,ACTR5,0.16838487972508592,0.17032967032967036
215,ACTR6,0.18213058419243985,0.1208791208791209
216,ACTR8,0.20962199312714777,0.14835164835164838
217,ACTRT1,0.17869415807560138,0.18131868131868134
218,ACTRT2,0.18900343642611683,0.18681318681318684
219,ACTRT3,0.6116838487972509,0.1318681318681319
220,ACVR1,0.16151202749140894,0.18681318681318684
