GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Csnk1g2,2,0,169,1,0,9,0,0,2,167,2,8,1,2,0,0,7,34,27,-7,0,0,8,8,0,0,1,20,19,-1,242,-5
Gm8906,5,10,169,0,0,9,0,0,2,154,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Spopfm1,1,6,169,0,0,9,0,0,2,162,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Sppl2a,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Slfn2,6,10,169,0,0,9,0,0,2,153,-4,9,0,2,0,0,2,34,32,-2,1,0,8,7,1,0,0,20,20,0,242,-5
Gm30083,0,5,169,0,0,9,0,0,2,164,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Slf2,2,2,169,0,0,9,0,0,2,165,0,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,1,20,19,-1,242,-5
Tmem242,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Cryba1,7,4,169,0,0,9,0,0,2,158,3,9,0,2,0,0,8,34,26,-8,0,0,8,8,0,0,0,20,20,0,242,-5
Rufy2,7,4,169,0,0,9,0,0,2,158,3,9,0,2,0,0,7,34,27,-7,1,0,8,7,1,0,2,20,18,-2,242,-5
Drc7,1,6,169,0,0,9,0,0,2,162,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Drd5,0,5,169,0,0,9,0,0,2,164,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Crtap,4,1,169,0,0,9,0,0,2,164,3,9,0,2,0,0,9,34,25,-9,0,0,8,8,0,1,0,20,19,1,242,-5
Cep20,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,1,20,19,-1,242,-5
Crp,7,8,169,0,0,9,0,0,2,154,-1,9,0,2,0,2,6,34,26,-4,0,0,8,8,0,0,0,20,20,0,242,-5
Trav6n-5,1,3,169,0,0,9,0,0,2,165,-2,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,0,0,20,20,0,242,-5
Sprr4,2,7,169,0,0,9,0,0,2,160,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Gm28845,8,13,169,0,0,9,0,0,2,148,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Creb1,3,0,169,0,0,9,0,0,2,166,3,9,0,2,0,0,8,34,26,-8,0,0,8,8,0,0,0,20,20,0,242,-5
Gnpat,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,1,20,19,-1,242,-5
Tmem214,2,2,169,0,0,9,0,0,2,165,0,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,1,1,20,18,0,242,-5
Slc9a1,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,0,20,20,0,242,-5
Crb2,1,2,169,0,0,9,0,0,2,166,-1,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,0,20,20,0,242,-5
Gm28635,8,12,169,0,0,9,2,0,2,149,-4,9,0,0,2,0,0,34,34,0,1,3,8,4,-2,0,1,20,19,-1,242,-5
Gm28510,1,6,169,0,0,9,0,0,2,162,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Crb1,0,4,169,0,0,9,0,0,2,165,-4,9,0,2,0,0,1,34,33,-1,0,0,8,8,0,0,0,20,20,0,242,-5
Dph1,2,2,169,0,0,9,0,0,2,165,0,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,0,20,20,0,242,-5
Dpagt1,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,1,20,19,-1,242,-5
Trav14d-2,8,11,169,0,0,9,0,0,2,150,-3,9,0,2,0,2,4,34,28,-2,0,0,8,8,0,0,0,20,20,0,242,-5
