GeneName,44℃:120min.-up,44℃:120min.-down,44℃:120min.-all,43℃:60min.-up,43℃:60min.-down,43℃:60min.-all,45℃:30min.-up,45℃:30min.-down,45℃:30min.-all,42℃:60min.-up,42℃:60min.-down,42℃:60min.-all,43℃:30min.-up,43℃:30min.-down,43℃:30min.-all,39℃:1440min.-up,39℃:1440min.-down,39℃:1440min.-all,42℃:30min.-up,42℃:30min.-down,42℃:30min.-all,42.5℃:60min.-up,42.5℃:60min.-down,42.5℃:60min.-all,45℃(+/-0.2):30min.-up,45℃(+/-0.2):30min.-down,45℃(+/-0.2):30min.-all,41.5℃:420min.-up,41.5℃:420min.-down,41.5℃:420min.-all,42℃:240min.-up,42℃:240min.-down,42℃:240min.-all,42℃:160min.-up,42℃:160min.-down,42℃:160min.-all,42℃:45min.-up,42℃:45min.-down,42℃:45min.-all,39℃:240min.-up,39℃:240min.-down,39℃:240min.-all,43℃:120min.-up,43℃:120min.-down,43℃:120min.-all,43℃:180min.-up,43℃:180min.-down,43℃:180min.-all,42℃:15min.-up,42℃:15min.-down,42℃:15min.-all,43℃:105min.-up,43℃:105min.-down,43℃:105min.-all,44℃:60min.-up,44℃:60min.-down,44℃:60min.-all,42℃:65min.-up,42℃:65min.-down,42℃:65min.-all,43℃:240min.-up,43℃:240min.-down,43℃:240min.-all,42℃:9×60min.-up,42℃:9×60min.-down,42℃:9×60min.-all,all(check),all,unchange_44℃:120min.,HN5_44℃:120min.,unchange_43℃:60min.,HN5_43℃:60min.,unchange_45℃:30min.,HN5_45℃:30min.,unchange_42℃:60min.,HN5_42℃:60min.,unchange_43℃:30min.,HN5_43℃:30min.,unchange_39℃:1440min.,HN5_39℃:1440min.,unchange_42℃:30min.,HN5_42℃:30min.,unchange_42.5℃:60min.,HN5_42.5℃:60min.,unchange_45℃(+/-0.2):30min.,HN5_45℃(+/-0.2):30min.,unchange_41.5℃:420min.,HN5_41.5℃:420min.,unchange_42℃:240min.,HN5_42℃:240min.,unchange_42℃:160min.,HN5_42℃:160min.,unchange_42℃:45min.,HN5_42℃:45min.,unchange_39℃:240min.,HN5_39℃:240min.,unchange_43℃:120min.,HN5_43℃:120min.,unchange_43℃:180min.,HN5_43℃:180min.,unchange_42℃:15min.,HN5_42℃:15min.,unchange_43℃:105min.,HN5_43℃:105min.,unchange_44℃:60min.,HN5_44℃:60min.,unchange_42℃:65min.,HN5_42℃:65min.,unchange_43℃:240min.,HN5_43℃:240min.,unchange_42℃:9×60min.,HN5_42℃:9×60min.,Total_HN-score
TMC4,8,0,18,0,0,13,0,1,3,8,4,92,4,0,22,1,0,11,0,0,16,0,0,12,3,2,18,1,0,6,0,0,3,1,0,3,2,2,12,0,0,6,15,2,41,1,0,2,0,0,6,9,0,15,8,0,8,0,0,5,2,0,2,0,0,8,322,322,10,8,13,0,2,-1,80,4,18,4,10,1,16,0,12,0,13,1,5,1,3,0,2,1,8,0,6,0,24,13,1,1,6,0,6,9,0,8,5,0,0,2,8,0,52
PRR18,6,0,18,2,0,13,0,1,3,18,0,92,4,0,22,0,0,11,8,0,16,0,0,12,0,0,18,0,0,6,0,0,3,1,0,3,1,0,12,3,0,6,0,1,41,0,0,2,2,0,6,5,0,15,3,0,8,0,0,5,0,0,2,0,0,8,322,322,12,6,11,2,2,-1,74,18,18,4,11,0,8,8,12,0,18,0,6,0,3,0,2,1,11,1,3,3,40,-1,2,0,4,2,10,5,5,3,5,0,2,0,8,0,51
HEY1,0,0,18,0,1,13,0,0,3,15,1,92,2,0,22,0,0,11,0,0,16,0,0,12,2,0,18,0,0,6,0,1,3,1,0,3,0,0,12,0,0,6,26,0,41,0,0,2,0,0,6,7,0,15,2,0,8,0,0,5,0,0,2,0,1,8,322,322,18,0,12,-1,3,0,76,14,20,2,11,0,16,0,12,0,16,2,6,0,2,-1,2,1,12,0,6,0,15,26,2,0,6,0,8,7,6,2,5,0,2,0,7,-1,51
OXT,3,0,18,3,0,13,0,2,3,15,2,92,0,1,22,2,0,11,0,0,16,0,0,12,6,0,18,5,1,6,2,0,3,1,0,3,1,0,12,2,1,6,9,0,41,1,0,2,0,0,6,6,1,15,1,0,8,0,0,5,0,0,2,0,0,8,322,322,15,3,10,3,1,-2,75,13,21,-1,9,2,16,0,12,0,12,6,0,4,1,2,2,1,11,1,3,1,32,9,1,1,6,0,8,5,7,1,5,0,2,0,8,0,49
UBC,0,0,18,0,0,13,0,0,3,25,0,92,0,1,22,0,0,11,1,0,16,1,0,12,6,0,18,0,0,6,0,0,3,2,0,3,0,1,12,0,0,6,5,0,41,0,0,2,0,0,6,6,0,15,4,0,8,0,0,5,1,0,2,0,0,8,322,322,18,0,13,0,3,0,67,25,21,-1,11,0,15,1,11,1,12,6,6,0,3,0,1,2,11,-1,6,0,36,5,2,0,6,0,9,6,4,4,5,0,1,1,8,0,49
GADD45G,10,0,18,0,0,13,0,1,3,14,0,92,5,0,22,0,0,11,0,1,16,5,0,12,6,0,18,2,0,6,1,0,3,0,0,3,1,3,12,0,0,6,2,1,41,0,0,2,0,1,6,0,0,15,8,0,8,0,0,5,1,0,2,0,0,8,322,322,8,10,13,0,2,-1,78,14,17,5,11,0,15,-1,7,5,12,6,4,2,2,1,3,0,8,-2,6,0,38,1,2,0,5,-1,15,0,0,8,5,0,1,1,8,0,48
ACTA1,6,0,18,0,0,13,0,0,3,10,1,92,7,0,22,1,0,11,0,2,16,8,0,12,3,0,18,0,1,6,0,0,3,0,0,3,1,3,12,0,0,6,5,0,41,0,0,2,0,0,6,8,0,15,5,0,8,0,0,5,1,0,2,0,0,8,322,322,12,6,13,0,3,0,81,9,15,7,10,1,14,-2,4,8,15,3,5,-1,3,0,3,0,8,-2,6,0,36,5,2,0,6,0,7,8,3,5,5,0,1,1,8,0,48
ABHD3,7,0,18,3,0,13,0,0,3,4,2,92,0,2,22,0,0,11,0,0,16,0,0,12,5,0,18,0,0,6,0,0,3,0,0,3,2,0,12,0,0,6,20,0,41,1,0,2,0,0,6,4,0,15,4,0,8,0,0,5,1,0,2,0,0,8,322,322,11,7,10,3,3,0,86,2,20,-2,11,0,16,0,12,0,13,5,6,0,3,0,3,0,10,2,6,0,21,20,1,1,6,0,11,4,4,4,5,0,1,1,8,0,47
SOCS3,0,0,18,0,0,13,0,1,3,20,0,92,0,0,22,0,0,11,0,0,16,7,0,12,1,1,18,0,0,6,1,0,3,2,0,3,0,0,12,0,0,6,11,0,41,0,0,2,0,0,6,7,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,13,0,2,-1,72,20,22,0,11,0,16,0,5,7,16,0,6,0,2,1,1,2,12,0,6,0,30,11,2,0,6,0,8,7,8,0,5,0,2,0,8,0,47
HSPA8,3,1,18,1,0,13,0,0,3,22,0,92,0,1,22,0,0,11,1,0,16,0,0,12,6,0,18,1,0,6,1,0,3,0,0,3,0,1,12,0,0,6,6,0,41,0,0,2,0,0,6,4,0,15,4,0,8,0,0,5,1,0,2,0,0,8,322,322,14,2,12,1,3,0,70,22,21,-1,11,0,15,1,12,0,12,6,5,1,2,1,3,0,11,-1,6,0,35,6,2,0,6,0,11,4,4,4,5,0,1,1,8,0,47
CCDC194,2,0,18,9,0,13,0,1,3,5,0,92,5,0,22,0,0,11,1,0,16,0,0,12,4,1,18,5,1,6,3,0,3,2,0,3,0,0,12,1,0,6,10,4,41,1,0,2,0,0,6,3,0,15,1,0,8,0,0,5,2,0,2,0,0,8,322,322,16,2,4,9,2,-1,87,5,17,5,11,0,15,1,12,0,13,3,0,4,0,3,1,2,12,0,5,1,27,6,1,1,6,0,12,3,7,1,5,0,0,2,8,0,47
DDIT4,1,0,18,0,0,13,1,0,3,17,0,92,0,0,22,0,0,11,0,0,16,0,0,12,6,0,18,0,2,6,2,0,3,2,0,3,2,0,12,0,0,6,13,1,41,0,0,2,0,0,6,4,0,15,0,0,8,1,1,5,1,0,2,0,0,8,322,322,17,1,13,0,2,1,75,17,22,0,11,0,16,0,12,0,12,6,4,-2,1,2,1,2,10,2,6,0,27,12,2,0,6,0,11,4,8,0,3,0,1,1,8,0,46
ARL9,3,0,18,0,0,13,0,0,3,13,1,92,5,0,22,0,0,11,0,0,16,0,0,12,1,0,18,0,0,6,2,0,3,0,0,3,1,0,12,0,0,6,6,1,41,0,0,2,0,0,6,7,0,15,6,0,8,0,0,5,1,0,2,0,0,8,322,322,15,3,13,0,3,0,78,12,17,5,11,0,16,0,12,0,17,1,6,0,1,2,3,0,11,1,6,0,34,5,2,0,6,0,8,7,2,6,5,0,1,1,8,0,43
BEST2,5,0,18,0,0,13,0,1,3,13,1,92,0,0,22,1,0,11,0,2,16,0,0,12,5,0,18,4,0,6,0,0,3,0,0,3,3,1,12,0,0,6,7,1,41,0,0,2,0,1,6,5,0,15,7,0,8,0,0,5,0,0,2,0,0,8,322,322,13,5,13,0,2,-1,78,12,22,0,10,1,14,-2,12,0,13,5,2,4,3,0,3,0,8,2,6,0,33,6,2,0,5,-1,10,5,1,7,5,0,2,0,8,0,43
CD79A,5,0,18,1,0,13,0,1,3,15,0,92,2,0,22,0,0,11,0,0,16,0,0,12,1,0,18,0,0,6,0,0,3,0,1,3,1,0,12,0,0,6,11,0,41,0,0,2,0,0,6,3,2,15,4,0,8,0,0,5,1,0,2,0,0,8,322,322,13,5,12,1,2,-1,77,15,20,2,11,0,16,0,12,0,17,1,6,0,3,0,2,-1,11,1,6,0,30,11,2,0,6,0,10,1,4,4,5,0,1,1,8,0,40
RRH,3,0,18,1,0,13,0,0,3,6,0,92,0,0,22,0,0,11,0,0,16,1,0,12,0,0,18,3,0,6,0,0,3,1,0,3,0,0,12,0,0,6,14,0,41,0,0,2,0,0,6,6,0,15,5,0,8,0,0,5,0,0,2,0,0,8,322,322,15,3,12,1,3,0,86,6,22,0,11,0,16,0,11,1,18,0,3,3,3,0,2,1,12,0,6,0,27,14,2,0,6,0,9,6,3,5,5,0,2,0,8,0,40
HSPE1,6,1,18,2,0,13,0,0,3,4,0,92,0,3,22,0,0,11,4,0,16,0,0,12,6,0,18,1,0,6,0,0,3,0,0,3,0,1,12,0,0,6,7,0,41,0,0,2,0,0,6,7,0,15,5,0,8,1,0,5,1,0,2,0,0,8,322,322,11,5,11,2,3,0,88,4,19,-3,11,0,12,4,12,0,12,6,5,1,3,0,3,0,11,-1,6,0,34,7,2,0,6,0,8,7,3,5,4,1,1,1,8,0,39
CARD9,1,0,18,5,0,13,0,0,3,7,0,92,6,0,22,0,0,11,0,0,16,5,0,12,1,0,18,5,0,6,2,0,3,0,0,3,1,2,12,0,0,6,2,0,41,0,0,2,0,0,6,1,0,15,4,0,8,0,0,5,1,0,2,0,0,8,322,322,17,1,8,5,3,0,85,7,16,6,11,0,16,0,7,5,17,1,1,5,1,2,3,0,9,-1,6,0,39,2,2,0,6,0,14,1,4,4,5,0,1,1,8,0,39
IQCA1L,8,0,18,0,0,13,0,1,3,15,0,92,3,0,22,0,0,11,0,0,16,0,0,12,2,0,18,4,0,6,0,0,3,0,0,3,2,0,12,0,0,6,2,1,41,0,0,2,0,0,6,4,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,10,8,13,0,2,-1,77,15,19,3,11,0,16,0,12,0,16,2,2,4,3,0,3,0,10,2,6,0,38,1,2,0,6,0,11,4,8,0,5,0,2,0,8,0,38
MYOCOS,6,0,18,1,0,13,0,1,3,16,0,92,0,0,22,1,0,11,0,0,16,2,0,12,2,0,18,1,0,6,0,0,3,0,0,3,0,1,12,0,0,6,5,2,41,0,0,2,0,0,6,2,0,15,5,0,8,0,0,5,0,0,2,0,0,8,322,322,12,6,12,1,2,-1,76,16,22,0,10,1,16,0,10,2,16,2,5,1,3,0,3,0,11,-1,6,0,34,3,2,0,6,0,13,2,3,5,5,0,2,0,8,0,37
LMAN1L,9,0,18,0,0,13,0,2,3,4,2,92,5,0,22,4,0,11,0,0,16,1,2,12,3,0,18,3,0,6,2,0,3,0,0,3,0,0,12,0,1,6,2,1,41,0,0,2,0,1,6,4,0,15,8,0,8,0,0,5,0,0,2,0,0,8,322,322,9,9,13,0,1,-2,86,2,17,5,7,4,16,0,9,-1,15,3,3,3,1,2,3,0,12,0,5,-1,38,1,2,0,5,-1,11,4,0,8,5,0,2,0,8,0,36
GADD45B,2,0,18,0,0,13,0,0,3,9,0,92,2,0,22,0,0,11,0,0,16,6,0,12,8,2,18,3,0,6,0,0,3,1,0,3,1,0,12,0,0,6,4,0,41,0,0,2,0,0,6,0,0,15,1,0,8,0,0,5,1,0,2,0,1,8,322,322,16,2,13,0,3,0,83,9,20,2,11,0,16,0,6,6,8,6,3,3,3,0,2,1,11,1,6,0,37,4,2,0,6,0,15,0,7,1,5,0,1,1,7,-1,35
PDE6G,7,0,18,0,0,13,0,1,3,17,7,92,3,0,22,1,0,11,1,3,16,2,0,12,5,0,18,1,0,6,0,0,3,0,0,3,0,0,12,0,1,6,4,3,41,0,0,2,0,2,6,4,0,15,5,0,8,0,0,5,1,0,2,0,0,8,322,322,11,7,13,0,2,-1,68,10,19,3,10,1,12,-2,10,2,13,5,5,1,3,0,3,0,12,0,5,-1,34,1,2,0,4,-2,11,4,3,5,5,0,1,1,8,0,34
FGF18,5,0,18,0,0,13,0,1,3,1,0,92,1,0,22,0,0,11,3,1,16,5,0,12,0,0,18,3,0,6,3,0,3,0,0,3,0,0,12,0,0,6,6,0,41,0,0,2,0,0,6,2,1,15,7,0,8,0,0,5,1,0,2,0,0,8,322,322,13,5,13,0,2,-1,91,1,21,1,11,0,12,2,7,5,18,0,3,3,0,3,3,0,12,0,6,0,35,6,2,0,6,0,12,1,1,7,5,0,1,1,8,0,34
IQCF1,3,0,18,4,0,13,0,0,3,10,1,92,1,0,22,1,0,11,2,0,16,0,0,12,1,0,18,6,0,6,1,0,3,0,0,3,0,0,12,1,0,6,2,1,41,0,0,2,0,1,6,5,1,15,1,0,8,0,0,5,0,0,2,0,0,8,322,322,15,3,9,4,3,0,81,9,21,1,10,1,14,2,12,0,17,1,0,6,2,1,3,0,12,0,5,1,38,1,2,0,5,-1,9,4,7,1,5,0,2,0,8,0,34
CHAC1,0,5,18,2,0,13,0,0,3,15,3,92,1,1,22,0,1,11,0,0,16,2,0,12,2,0,18,0,0,6,2,0,3,1,0,3,2,0,12,0,3,6,17,7,41,1,0,2,0,0,6,7,1,15,0,0,8,0,0,5,2,0,2,0,0,8,322,322,13,-5,11,2,3,0,74,12,20,0,10,-1,16,0,10,2,16,2,6,0,1,2,2,1,10,2,3,-3,17,10,1,1,6,0,7,6,8,0,5,0,0,2,8,0,33
GUCA1B,0,0,18,5,0,13,0,0,3,11,1,92,1,0,22,1,0,11,0,0,16,4,0,12,3,0,18,1,0,6,1,0,3,0,0,3,1,0,12,0,0,6,1,0,41,0,0,2,0,0,6,3,0,15,2,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,8,5,3,0,80,10,21,1,10,1,16,0,8,4,15,3,5,1,2,1,3,0,11,1,6,0,40,1,2,0,6,0,12,3,6,2,5,0,2,0,8,0,33
BST2,4,0,18,0,0,13,0,0,3,7,2,92,3,0,22,2,0,11,0,0,16,0,0,12,6,0,18,0,0,6,0,0,3,0,1,3,0,1,12,0,0,6,6,0,41,0,0,2,0,0,6,5,0,15,1,0,8,1,0,5,1,0,2,0,0,8,322,322,14,4,13,0,3,0,83,5,19,3,9,2,16,0,12,0,12,6,6,0,3,0,2,-1,11,-1,6,0,35,6,2,0,6,0,10,5,7,1,4,1,1,1,8,0,32
PIP5KL1,4,0,18,0,0,13,0,0,3,7,1,92,2,0,22,0,0,11,0,0,16,0,0,12,1,1,18,0,0,6,0,0,3,0,0,3,0,0,12,0,0,6,7,0,41,0,0,2,0,0,6,5,0,15,6,0,8,0,0,5,1,0,2,0,0,8,322,322,14,4,13,0,3,0,84,6,20,2,11,0,16,0,12,0,16,0,6,0,3,0,3,0,12,0,6,0,34,7,2,0,6,0,10,5,2,6,5,0,1,1,8,0,31
H3C8,0,0,18,0,0,13,0,0,3,20,0,92,0,0,22,0,0,11,1,0,16,0,0,12,6,1,18,0,1,6,1,0,3,0,0,3,0,0,12,3,0,6,2,0,41,0,0,2,0,0,6,0,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,13,0,3,0,72,20,22,0,11,0,15,1,12,0,11,5,5,-1,2,1,3,0,12,0,3,3,39,2,2,0,6,0,15,0,8,0,5,0,2,0,8,0,31
CXCR4,5,0,18,0,0,13,0,0,3,5,1,92,6,1,22,0,0,11,3,0,16,11,0,12,3,0,18,0,0,6,0,0,3,0,0,3,0,0,12,0,0,6,0,0,41,0,0,2,0,0,6,0,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,13,5,13,0,3,0,86,4,15,5,11,0,13,3,1,11,15,3,6,0,3,0,3,0,12,0,6,0,41,0,2,0,6,0,15,0,8,0,5,0,2,0,8,0,31
NRN1L,6,0,18,1,0,13,0,1,3,10,2,92,4,1,22,0,0,11,1,1,16,4,1,12,0,2,18,0,0,6,0,0,3,0,0,3,0,2,12,0,0,6,10,0,41,0,0,2,0,0,6,3,1,15,2,0,8,0,0,5,1,0,2,0,0,8,322,322,12,6,12,1,2,-1,80,8,17,3,11,0,14,0,7,3,16,-2,6,0,3,0,3,0,10,-2,6,0,31,10,2,0,6,0,11,2,6,2,5,0,1,1,8,0,31
TEX29,2,0,18,3,0,13,0,0,3,13,8,92,5,0,22,2,0,11,0,0,16,6,1,12,3,0,18,0,0,6,3,0,3,0,0,3,0,1,12,1,0,6,2,4,41,0,0,2,0,1,6,0,0,15,3,0,8,0,0,5,0,0,2,2,0,8,322,322,16,2,10,3,3,0,71,5,17,5,9,2,16,0,5,5,15,3,6,0,0,3,3,0,11,-1,5,1,35,-2,2,0,5,-1,15,0,5,3,5,0,2,0,6,2,30
PINLYP,0,2,18,0,2,13,0,0,3,6,5,92,1,1,22,0,0,11,0,2,16,2,0,12,3,1,18,0,0,6,0,0,3,0,1,3,0,3,12,0,0,6,1,2,41,0,0,2,0,1,6,2,3,15,0,0,8,0,0,5,0,0,2,0,1,8,322,322,16,-2,11,-2,3,0,81,1,20,0,11,0,14,-2,10,2,14,2,6,0,3,0,2,-1,9,-3,6,0,38,-1,2,0,5,-1,10,-1,8,0,5,0,2,0,7,-1,-9
TRMT5,0,7,18,0,0,13,0,0,3,1,5,92,0,0,22,0,0,11,0,0,16,0,0,12,1,1,18,0,0,6,0,1,3,0,0,3,0,1,12,0,0,6,4,0,41,0,0,2,0,0,6,0,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,11,-7,13,0,3,0,86,-4,22,0,11,0,16,0,12,0,16,0,6,0,2,-1,3,0,11,-1,6,0,37,4,2,0,6,0,15,0,8,0,5,0,2,0,8,0,-9
HASPIN,0,8,18,0,0,13,0,0,3,3,4,92,0,0,22,0,0,11,0,0,16,0,0,12,1,2,18,3,0,6,0,0,3,0,0,3,0,3,12,0,0,6,0,0,41,0,0,2,0,0,6,0,0,15,0,0,8,0,0,5,1,0,2,0,0,8,322,322,10,-8,13,0,3,0,85,-1,22,0,11,0,16,0,12,0,15,-1,3,3,3,0,3,0,9,-3,6,0,41,0,2,0,6,0,15,0,8,0,5,0,1,1,8,0,-9
C1QL4,0,0,18,0,0,13,0,0,3,3,3,92,1,2,22,1,0,11,0,1,16,0,0,12,1,2,18,0,0,6,0,0,3,0,0,3,0,4,12,0,0,6,1,3,41,0,0,2,0,1,6,1,1,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,13,0,3,0,86,0,19,-1,10,1,15,-1,12,0,15,-1,6,0,3,0,3,0,8,-4,6,0,37,-2,2,0,5,-1,13,0,8,0,5,0,2,0,8,0,-9
IMMP2L,0,0,18,0,0,13,0,0,3,3,3,92,0,1,22,0,0,11,0,0,16,0,0,12,2,0,18,0,0,6,0,0,3,0,0,3,1,1,12,0,0,6,0,8,41,0,0,2,0,0,6,0,2,15,1,0,8,0,1,5,0,0,2,0,0,8,322,322,18,0,13,0,3,0,86,0,21,-1,11,0,16,0,12,0,16,2,6,0,3,0,3,0,10,0,6,0,33,-8,2,0,6,0,13,-2,7,1,4,-1,2,0,8,0,-9
PLK1,0,2,18,0,0,13,0,0,3,4,15,92,0,0,22,0,0,11,0,0,16,0,0,12,5,0,18,0,0,6,0,0,3,0,0,3,0,1,12,0,0,6,0,0,41,0,0,2,0,0,6,0,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,16,-2,13,0,3,0,73,-11,22,0,11,0,16,0,12,0,13,5,6,0,3,0,3,0,11,-1,6,0,41,0,2,0,6,0,15,0,8,0,5,0,2,0,8,0,-9
EMILIN1,0,0,18,0,0,13,0,0,3,0,2,92,0,0,22,0,0,11,0,0,16,0,0,12,1,0,18,0,1,6,0,0,3,0,2,3,1,5,12,0,0,6,2,3,41,0,0,2,0,0,6,0,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,13,0,3,0,90,-2,22,0,11,0,16,0,12,0,17,1,5,-1,3,0,1,-2,6,-4,6,0,36,-1,2,0,6,0,15,0,8,0,5,0,2,0,8,0,-9
TSKU,0,0,18,0,0,13,0,1,3,3,10,92,0,0,22,0,0,11,0,0,16,0,0,12,6,0,18,0,3,6,0,0,3,0,0,3,0,4,12,0,0,6,1,1,41,0,0,2,0,0,6,0,1,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,13,0,2,-1,79,-7,22,0,11,0,16,0,12,0,12,6,3,-3,3,0,3,0,8,-4,6,0,39,0,2,0,6,0,14,-1,8,0,5,0,2,0,8,0,-10
PIGBOS1,0,0,18,0,0,13,0,0,3,1,10,92,0,1,22,0,0,11,0,0,16,0,0,12,5,0,18,0,2,6,0,0,3,0,0,3,0,1,12,0,0,6,1,0,41,0,0,2,0,0,6,0,3,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,13,0,3,0,81,-9,21,-1,11,0,16,0,12,0,13,5,4,-2,3,0,3,0,11,-1,6,0,40,1,2,0,6,0,12,-3,8,0,5,0,2,0,8,0,-10
FBXO5,0,8,18,0,0,13,0,0,3,3,4,92,0,0,22,0,0,11,0,0,16,0,0,12,1,1,18,0,0,6,0,0,3,0,0,3,0,0,12,0,0,6,0,1,41,0,0,2,0,0,6,0,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,10,-8,13,0,3,0,85,-1,22,0,11,0,16,0,12,0,16,0,6,0,3,0,3,0,12,0,6,0,40,-1,2,0,6,0,15,0,8,0,5,0,2,0,8,0,-10
GEMIN4,0,0,18,0,0,13,0,0,3,3,13,92,0,1,22,0,0,11,0,0,16,0,0,12,6,0,18,0,1,6,0,0,3,0,0,3,0,4,12,0,0,6,1,0,41,0,0,2,0,0,6,0,1,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,13,0,3,0,76,-10,21,-1,11,0,16,0,12,0,12,6,5,-1,3,0,3,0,8,-4,6,0,40,1,2,0,6,0,14,-1,8,0,5,0,2,0,8,0,-10
SPAG8,0,6,18,0,0,13,0,0,3,4,7,92,0,1,22,0,0,11,0,0,16,0,0,12,3,0,18,0,0,6,0,0,3,0,0,3,1,2,12,0,0,6,0,2,41,0,0,2,0,0,6,0,1,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,12,-6,13,0,3,0,81,-3,21,-1,11,0,16,0,12,0,15,3,6,0,3,0,3,0,9,-1,6,0,39,-2,2,0,6,0,14,-1,8,0,5,0,2,0,8,0,-11
DNAJC27,0,5,18,0,0,13,0,0,3,0,0,92,0,0,22,1,0,11,0,0,16,0,0,12,0,0,18,0,2,6,0,0,3,0,0,3,0,0,12,0,0,6,1,5,41,0,0,2,0,0,6,0,1,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,13,-5,13,0,3,0,92,0,22,0,10,1,16,0,12,0,18,0,4,-2,3,0,3,0,12,0,6,0,35,-4,2,0,6,0,14,-1,8,0,5,0,2,0,8,0,-11
IGSF10,0,0,18,1,0,13,0,0,3,0,3,92,0,0,22,0,0,11,0,2,16,0,0,12,0,0,18,0,2,6,0,0,3,0,0,3,0,4,12,0,0,6,2,5,41,0,0,2,0,0,6,2,1,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,12,1,3,0,89,-3,22,0,11,0,14,-2,12,0,18,0,4,-2,3,0,3,0,8,-4,6,0,34,-3,2,0,6,0,12,1,8,0,5,0,2,0,8,0,-12
PHETA2,0,8,18,0,0,13,0,1,3,0,5,92,0,0,22,0,0,11,1,1,16,0,0,12,4,0,18,0,1,6,0,1,3,0,0,3,0,0,12,0,0,6,1,5,41,0,0,2,0,0,6,4,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,10,-8,13,0,2,-1,87,-5,22,0,11,0,14,0,12,0,14,4,5,-1,2,-1,3,0,12,0,6,0,35,-4,2,0,6,0,11,4,8,0,5,0,2,0,8,0,-12
EVI2A,0,2,18,0,1,13,0,0,3,0,1,92,0,1,22,0,0,11,0,0,16,0,1,12,1,2,18,0,0,6,0,0,3,0,0,3,0,0,12,0,0,6,2,6,41,0,1,2,0,0,6,0,1,15,0,0,8,0,0,5,1,0,2,0,0,8,322,322,16,-2,12,-1,3,0,91,-1,21,-1,11,0,16,0,11,-1,15,-1,6,0,3,0,3,0,12,0,6,0,33,-4,1,-1,6,0,14,-1,8,0,5,0,1,1,8,0,-12
NEIL3,0,1,18,0,0,13,0,0,3,4,12,92,0,0,22,1,0,11,0,0,16,0,0,12,0,0,18,0,1,6,0,0,3,0,0,3,0,1,12,0,0,6,0,0,41,0,0,2,0,0,6,0,2,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,17,-1,13,0,3,0,76,-8,22,0,10,1,16,0,12,0,18,0,5,-1,3,0,3,0,11,-1,6,0,41,0,2,0,6,0,13,-2,8,0,5,0,2,0,8,0,-12
MFSD2A,0,0,18,0,1,13,0,0,3,3,4,92,0,1,22,0,0,11,0,0,16,0,0,12,0,6,18,0,0,6,0,0,3,0,0,3,0,0,12,0,0,6,1,2,41,0,0,2,1,0,6,0,3,15,0,0,8,0,0,5,0,0,2,0,1,8,322,322,18,0,12,-1,3,0,85,-1,21,-1,11,0,16,0,12,0,12,-6,6,0,3,0,3,0,12,0,6,0,38,-1,2,0,5,1,12,-3,8,0,5,0,2,0,7,-1,-13
SSMEM1,0,0,18,0,0,13,0,0,3,2,5,92,1,0,22,0,0,11,0,0,16,0,0,12,0,2,18,0,2,6,0,0,3,0,0,3,0,1,12,0,1,6,1,5,41,0,0,2,0,1,6,0,0,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,18,0,13,0,3,0,85,-3,21,1,11,0,16,0,12,0,16,-2,4,-2,3,0,3,0,11,-1,5,-1,35,-4,2,0,5,-1,15,0,8,0,5,0,2,0,8,0,-13
PRR22,0,2,18,0,0,13,0,0,3,0,2,92,3,4,22,0,0,11,0,0,16,0,0,12,0,1,18,0,0,6,0,0,3,0,1,3,3,6,12,0,0,6,1,2,41,0,0,2,0,0,6,0,2,15,1,0,8,0,0,5,0,1,2,0,0,8,322,322,16,-2,13,0,3,0,90,-2,15,-1,11,0,16,0,12,0,17,-1,6,0,3,0,2,-1,3,-3,6,0,38,-1,2,0,6,0,13,-2,7,1,5,0,1,-1,8,0,-13
PYM1,0,5,18,0,0,13,0,0,3,1,10,92,0,0,22,0,0,11,0,0,16,0,0,12,3,0,18,0,0,6,0,0,3,0,0,3,0,1,12,0,0,6,1,1,41,0,0,2,0,0,6,0,2,15,0,0,8,0,0,5,0,0,2,0,0,8,322,322,13,-5,13,0,3,0,81,-9,22,0,11,0,16,0,12,0,15,3,6,0,3,0,3,0,11,-1,6,0,39,0,2,0,6,0,13,-2,8,0,5,0,2,0,8,0,-14
