GeneName,44℃:120min.-up,44℃:120min.-down,44℃:120min.-all,43℃:60min.-up,43℃:60min.-down,43℃:60min.-all,45℃:30min.-up,45℃:30min.-down,45℃:30min.-all,42℃:60min.-up,42℃:60min.-down,42℃:60min.-all,43℃:30min.-up,43℃:30min.-down,43℃:30min.-all,39℃:1440min.-up,39℃:1440min.-down,39℃:1440min.-all,42℃:30min.-up,42℃:30min.-down,42℃:30min.-all,42.5℃:60min.-up,42.5℃:60min.-down,42.5℃:60min.-all,45℃(+/-0.2):30min.-up,45℃(+/-0.2):30min.-down,45℃(+/-0.2):30min.-all,41.5℃:420min.-up,41.5℃:420min.-down,41.5℃:420min.-all,42℃:240min.-up,42℃:240min.-down,42℃:240min.-all,42℃:160min.-up,42℃:160min.-down,42℃:160min.-all,42℃:45min.-up,42℃:45min.-down,42℃:45min.-all,39℃:240min.-up,39℃:240min.-down,39℃:240min.-all,43℃:120min.-up,43℃:120min.-down,43℃:120min.-all,43℃:180min.-up,43℃:180min.-down,43℃:180min.-all,42℃:15min.-up,42℃:15min.-down,42℃:15min.-all,43℃:105min.-up,43℃:105min.-down,43℃:105min.-all,44℃:60min.-up,44℃:60min.-down,44℃:60min.-all,42℃:65min.-up,42℃:65min.-down,42℃:65min.-all,43℃:240min.-up,43℃:240min.-down,43℃:240min.-all,42℃:9×60min.-up,42℃:9×60min.-down,42℃:9×60min.-all,all(check),all,unchange_44℃:120min.,HN5_44℃:120min.,unchange_43℃:60min.,HN5_43℃:60min.,unchange_45℃:30min.,HN5_45℃:30min.,unchange_42℃:60min.,HN5_42℃:60min.,unchange_43℃:30min.,HN5_43℃:30min.,unchange_39℃:1440min.,HN5_39℃:1440min.,unchange_42℃:30min.,HN5_42℃:30min.,unchange_42.5℃:60min.,HN5_42.5℃:60min.,unchange_45℃(+/-0.2):30min.,HN5_45℃(+/-0.2):30min.,unchange_41.5℃:420min.,HN5_41.5℃:420min.,unchange_42℃:240min.,HN5_42℃:240min.,unchange_42℃:160min.,HN5_42℃:160min.,unchange_42℃:45min.,HN5_42℃:45min.,unchange_39℃:240min.,HN5_39℃:240min.,unchange_43℃:120min.,HN5_43℃:120min.,unchange_43℃:180min.,HN5_43℃:180min.,unchange_42℃:15min.,HN5_42℃:15min.,unchange_43℃:105min.,HN5_43℃:105min.,unchange_44℃:60min.,HN5_44℃:60min.,unchange_42℃:65min.,HN5_42℃:65min.,unchange_43℃:240min.,HN5_43℃:240min.,unchange_42℃:9×60min.,HN5_42℃:9×60min.,Total_HN-score
DNAJB4,13,0,18,7,0,13,0,0,3,52,0,92,6,0,22,1,0,11,0,0,16,11,0,12,5,0,18,3,0,6,1,0,3,3,0,3,4,0,12,0,0,6,22,0,41,0,0,2,0,0,6,11,1,15,8,0,8,1,0,5,2,0,2,0,0,8,322,322,5,13,6,7,3,0,40,52,16,6,10,1,16,0,1,11,13,5,3,3,2,1,0,3,8,4,6,0,19,22,2,0,6,0,3,10,0,8,4,1,0,2,8,0,149
DEDD2,10,0,18,3,0,13,0,0,3,57,0,92,6,0,22,0,0,11,6,0,16,7,0,12,5,0,18,0,0,6,0,0,3,2,1,3,4,1,12,0,0,6,25,0,41,1,0,2,0,0,6,11,1,15,7,0,8,0,0,5,2,0,2,0,0,8,322,322,8,10,10,3,3,0,35,57,16,6,11,0,10,6,5,7,13,5,6,0,3,0,0,1,7,3,6,0,16,25,1,1,6,0,3,10,1,7,5,0,0,2,8,0,143
TENT5A,10,0,18,0,0,13,0,0,3,50,0,92,2,0,22,1,0,11,1,0,16,10,0,12,2,0,18,3,0,6,0,0,3,3,0,3,1,0,12,0,0,6,26,0,41,0,0,2,0,0,6,11,2,15,8,0,8,0,0,5,1,0,2,0,0,8,322,322,8,10,13,0,3,0,42,50,20,2,10,1,15,1,2,10,16,2,3,3,3,0,0,3,11,1,6,0,15,26,2,0,6,0,2,9,0,8,5,0,1,1,8,0,127
TEX43,10,0,18,4,0,13,0,1,3,33,2,92,4,1,22,6,0,11,3,3,16,5,0,12,0,1,18,5,0,6,1,0,3,3,0,3,4,0,12,5,0,6,26,0,41,1,0,2,2,2,6,9,0,15,8,0,8,0,0,5,0,0,2,0,0,8,322,322,8,10,9,4,2,-1,57,31,17,3,5,6,10,0,7,5,17,-1,1,5,2,1,0,3,8,4,1,5,15,26,1,1,2,0,6,9,0,8,5,0,2,0,8,0,119
SERPINH1,4,0,18,8,0,13,0,0,3,40,1,92,6,0,22,0,0,11,4,0,16,6,0,12,5,0,18,3,0,6,3,0,3,2,0,3,4,0,12,0,0,6,17,0,41,1,0,2,0,0,6,11,0,15,4,0,8,0,0,5,2,0,2,0,0,8,322,322,14,4,5,8,3,0,51,39,16,6,11,0,12,4,6,6,13,5,3,3,0,3,1,2,8,4,6,0,24,17,1,1,6,0,4,11,4,4,5,0,0,2,8,0,119
FOSB,9,0,18,3,0,13,0,0,3,53,0,92,9,0,22,1,0,11,0,2,16,10,0,12,9,0,18,3,0,6,0,0,3,1,1,3,0,4,12,0,0,6,13,0,41,0,0,2,0,0,6,10,0,15,4,0,8,0,0,5,0,0,2,0,0,8,322,322,9,9,10,3,3,0,39,53,13,9,10,1,14,-2,2,10,9,9,3,3,3,0,1,0,8,-4,6,0,28,13,2,0,6,0,5,10,4,4,5,0,2,0,8,0,118
HSPB1,4,0,18,7,0,13,0,0,3,35,0,92,3,0,22,1,0,11,4,0,16,4,0,12,8,2,18,2,0,6,3,0,3,3,0,3,4,1,12,0,0,6,15,0,41,1,0,2,0,0,6,11,0,15,8,0,8,1,0,5,1,0,2,0,0,8,322,322,14,4,6,7,3,0,57,35,19,3,10,1,12,4,8,4,8,6,4,2,0,3,0,3,7,3,6,0,26,15,1,1,6,0,4,11,0,8,4,1,1,1,8,0,112
DNAJA4,12,0,18,10,0,13,0,1,3,37,0,92,8,0,22,2,0,11,0,0,16,10,0,12,7,0,18,2,0,6,2,0,3,3,0,3,0,0,12,0,0,6,4,3,41,0,0,2,0,0,6,3,0,15,8,0,8,0,0,5,2,0,2,0,0,8,322,322,6,12,3,10,2,-1,55,37,14,8,9,2,16,0,2,10,11,7,4,2,1,2,0,3,12,0,6,0,34,1,2,0,6,0,12,3,0,8,5,0,0,2,8,0,106
EGR2,1,0,18,2,1,13,0,0,3,58,0,92,7,0,22,0,0,11,0,3,16,6,0,12,4,0,18,1,0,6,1,0,3,2,0,3,0,0,12,0,0,6,16,0,41,1,0,2,0,0,6,8,0,15,1,0,8,0,0,5,0,0,2,0,0,8,322,322,17,1,10,1,3,0,34,58,15,7,11,0,13,-3,6,6,14,4,5,1,2,1,1,2,12,0,6,0,25,16,1,1,6,0,7,8,7,1,5,0,2,0,8,0,104
HSPB8,8,0,18,1,0,13,0,0,3,17,0,92,8,0,22,0,0,11,0,0,16,12,0,12,2,0,18,2,0,6,0,0,3,3,0,3,1,1,12,0,0,6,27,0,41,1,0,2,0,0,6,11,1,15,8,0,8,0,0,5,2,0,2,0,1,8,322,322,10,8,12,1,3,0,75,17,14,8,11,0,16,0,0,12,16,2,4,2,3,0,0,3,10,0,6,0,14,27,1,1,6,0,3,10,0,8,5,0,0,2,7,-1,100
