GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,SLAM-seq-up,SLAM-seq-down,SLAM-seq-all,TTchem-seq-up,TTchem-seq-down,TTchem-seq-all,TT-seq-up,TT-seq-down,TT-seq-all,4sU-seq-up,4sU-seq-down,4sU-seq-all,MeRIP-seq-up,MeRIP-seq-down,MeRIP-seq-all,m1A-seq-up,m1A-seq-down,m1A-seq-all,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,m6Am-seq-up,m6Am-seq-down,m6Am-seq-all,mNET-seq-up,mNET-seq-down,mNET-seq-all,PRO-seq-up,PRO-seq-down,PRO-seq-all,all(check),all,unchange_RNA-seq,HN5_RNA-seq,unchange_SLAM-seq,HN5_SLAM-seq,unchange_TTchem-seq,HN5_TTchem-seq,unchange_TT-seq,HN5_TT-seq,unchange_4sU-seq,HN5_4sU-seq,unchange_MeRIP-seq,HN5_MeRIP-seq,unchange_m1A-seq,HN5_m1A-seq,unchange_Ribo-seq,HN5_Ribo-seq,unchange_m6Am-seq,HN5_m6Am-seq,unchange_mNET-seq,HN5_mNET-seq,unchange_PRO-seq,HN5_PRO-seq,Total_HN-score
CCDC121,50,1,192,2,0,11,21,0,34,5,0,8,27,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,8,0,24,322,322,141,49,9,2,13,21,3,5,4,27,3,0,1,1,6,0,7,0,4,0,16,8,113
HSPB1,59,3,192,1,0,11,15,0,34,2,0,8,19,0,31,3,0,3,1,0,2,4,0,6,1,0,7,2,0,4,8,0,24,322,322,130,56,10,1,19,15,6,2,12,19,0,3,1,1,2,4,6,1,2,2,16,8,112
NHLH1,60,1,192,1,0,11,19,0,34,0,0,8,26,0,31,0,0,3,2,0,2,0,0,6,1,0,7,0,0,4,3,0,24,322,322,131,59,10,1,15,19,8,0,5,26,3,0,0,2,6,0,6,1,4,0,21,3,111
CCDC81,42,0,192,0,0,11,27,0,34,6,0,8,25,0,31,3,0,3,1,0,2,0,0,6,0,0,7,0,0,4,6,1,24,322,322,150,42,11,0,7,27,2,6,6,25,0,3,1,1,6,0,7,0,4,0,17,5,109
TULP2,72,5,192,1,0,11,20,4,34,0,0,8,23,1,31,0,1,3,2,0,2,0,0,6,1,2,7,0,0,4,3,1,24,322,322,115,67,10,1,10,16,8,0,7,22,2,-1,0,2,6,0,4,-1,4,0,20,2,108
DNAJA4,81,1,192,1,0,11,3,3,34,0,0,8,19,0,31,3,0,3,2,0,2,0,0,6,1,0,7,0,0,4,0,0,24,322,322,110,80,10,1,28,0,8,0,12,19,0,3,0,2,6,0,6,1,4,0,24,0,106
EGR2,74,2,192,0,0,11,16,0,34,0,1,8,9,0,31,0,1,3,0,0,2,0,0,6,1,0,7,0,0,4,8,0,24,322,322,116,72,11,0,18,16,7,-1,22,9,2,-1,2,0,6,0,6,1,4,0,16,8,104
ALOXE3,39,0,192,0,0,11,27,0,34,0,0,8,27,0,31,2,0,3,0,0,2,0,0,6,1,0,7,2,0,4,2,0,24,322,322,153,39,11,0,7,27,8,0,4,27,1,2,2,0,6,0,6,1,2,2,22,2,100
HSPB8,45,1,192,4,0,11,23,0,34,0,0,8,25,1,31,0,0,3,2,0,2,0,0,6,4,0,7,0,0,4,0,1,24,322,322,146,44,7,4,11,23,8,0,5,24,3,0,0,2,6,0,3,4,4,0,23,-1,100
C2orf66,53,1,192,0,0,11,20,0,34,4,0,8,20,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,4,1,24,322,322,138,52,11,0,14,20,4,4,11,20,3,0,1,1,6,0,7,0,4,0,19,3,100
TMEM95,37,1,192,0,0,11,19,0,34,2,0,8,28,0,31,2,0,3,2,0,2,0,0,6,0,0,7,1,0,4,9,0,24,322,322,154,36,11,0,15,19,6,2,3,28,1,2,0,2,6,0,7,0,3,1,15,9,99
LCN10,74,1,192,0,2,11,11,0,34,1,0,8,8,0,31,3,0,3,2,0,2,0,0,6,0,0,7,1,0,4,4,3,24,322,322,117,73,9,-2,23,11,7,1,23,8,0,3,0,2,6,0,7,0,3,1,17,1,98
PCSK5,47,7,192,0,0,11,27,0,34,0,0,8,24,0,31,0,0,3,2,0,2,0,0,6,0,0,7,1,0,4,4,0,24,322,322,138,40,11,0,7,27,8,0,7,24,3,0,0,2,6,0,7,0,3,1,20,4,98
ADCY10,56,0,192,0,1,11,20,0,34,4,0,8,15,1,31,3,0,3,2,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,136,56,10,-1,14,20,4,4,15,14,0,3,0,2,6,0,7,0,4,0,23,-1,97
HSPA4L,53,0,192,0,0,11,8,0,34,1,0,8,26,0,31,3,0,3,2,0,2,0,0,6,0,0,7,0,0,4,3,0,24,322,322,139,53,11,0,26,8,7,1,5,26,0,3,0,2,6,0,7,0,4,0,21,3,96
SESN3,31,0,192,0,0,11,27,0,34,0,0,8,26,0,31,2,0,3,1,0,2,0,0,6,0,0,7,0,0,4,8,0,24,322,322,161,31,11,0,7,27,8,0,5,26,1,2,1,1,6,0,7,0,4,0,16,8,95
CCL26,64,6,192,1,2,11,12,1,34,0,1,8,20,1,31,0,0,3,0,0,2,1,0,6,3,1,7,0,0,4,12,6,24,322,322,122,58,8,-1,21,11,7,-1,10,19,3,0,2,0,5,1,3,2,4,0,6,6,95
CASS4,63,1,192,0,0,11,13,0,34,0,0,8,14,0,31,0,0,3,1,0,2,0,0,6,1,0,7,0,0,4,0,0,24,322,322,128,62,11,0,21,13,8,0,17,14,3,0,1,1,6,0,6,1,4,0,24,0,91
HSPE1-MOB4,41,3,192,0,0,11,20,1,34,5,1,8,24,0,31,0,0,3,1,0,2,0,0,6,2,1,7,1,0,4,5,3,24,322,322,148,38,11,0,13,19,2,4,7,24,3,0,1,1,6,0,4,1,3,1,16,2,90
USPL1,45,0,192,0,0,11,17,0,34,0,0,8,26,2,31,1,0,3,1,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,147,45,11,0,17,17,8,0,3,24,2,1,1,1,5,1,7,0,4,0,24,0,89
LY6G6C,44,4,192,0,0,11,22,0,34,0,0,8,23,2,31,2,0,3,2,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,144,40,11,0,12,22,8,0,6,21,1,2,0,2,6,0,7,0,4,0,22,2,89
ATF3,61,4,192,1,0,11,11,0,34,0,0,8,17,1,31,0,0,3,1,0,2,2,0,6,0,1,7,0,0,4,1,0,24,322,322,127,57,10,1,23,11,8,0,13,16,3,0,1,1,4,2,6,-1,4,0,23,1,88
EGR1,63,7,192,2,1,11,13,1,34,0,0,8,13,0,31,0,0,3,0,1,2,0,0,6,0,0,7,0,0,4,6,0,24,322,322,122,56,8,1,20,12,8,0,18,13,3,0,1,-1,6,0,7,0,4,0,18,6,87
DUSP1,47,2,192,1,1,11,20,0,34,1,0,8,13,0,31,2,0,3,1,0,2,2,0,6,0,0,7,0,0,4,3,0,24,322,322,143,45,9,0,14,20,7,1,18,13,1,2,1,1,4,2,7,0,4,0,21,3,87
MAFB,52,1,192,0,0,11,11,0,34,0,0,8,22,0,31,1,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,139,51,11,0,23,11,8,0,9,22,2,1,1,1,6,0,7,0,4,0,24,0,86
FOXJ1,71,0,192,0,0,11,0,0,34,0,0,8,4,0,31,2,0,3,0,0,2,0,0,6,3,0,7,0,0,4,3,0,24,322,322,121,71,11,0,34,0,8,0,27,4,1,2,2,0,6,0,4,3,4,0,21,3,83
ENGASE,37,1,192,1,0,11,11,0,34,0,0,8,27,1,31,2,0,3,1,0,2,0,0,6,0,0,7,0,0,4,6,0,24,322,322,154,36,10,1,23,11,8,0,3,26,1,2,1,1,6,0,7,0,4,0,18,6,83
COX8C,51,8,192,0,1,11,13,0,34,4,1,8,24,1,31,1,0,3,1,0,2,0,0,6,0,0,7,1,0,4,3,4,24,322,322,133,43,10,-1,21,13,3,3,6,23,2,1,1,1,6,0,7,0,3,1,17,-1,83
DEFB115,43,5,192,0,0,11,26,0,34,0,0,8,17,0,31,0,0,3,0,0,2,0,0,6,0,0,7,1,0,4,1,0,24,322,322,144,38,11,0,8,26,8,0,14,17,3,0,2,0,6,0,7,0,3,1,23,1,83
DHDH,35,10,192,0,1,11,26,0,34,0,0,8,27,0,31,0,0,3,1,0,2,0,0,6,0,3,7,0,0,4,7,0,24,322,322,147,25,10,-1,8,26,8,0,4,27,3,0,1,1,6,0,4,-3,4,0,17,7,82
TICAM2,51,2,192,0,0,11,17,0,34,0,0,8,13,0,31,1,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,139,49,11,0,17,17,8,0,18,13,2,1,1,1,6,0,7,0,4,0,24,0,81
CSF3,52,1,192,0,0,11,7,0,34,1,0,8,21,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,139,51,11,0,27,7,7,1,10,21,3,0,1,1,6,0,7,0,4,0,24,0,81
CLU,42,1,192,0,0,11,15,0,34,1,1,8,14,0,31,0,0,3,0,0,2,1,1,6,1,0,7,2,0,4,9,1,24,322,322,149,41,11,0,19,15,6,0,17,14,3,0,2,0,4,0,6,1,2,2,14,8,81
CHRNA2,68,4,192,0,0,11,0,0,34,1,0,8,10,0,31,2,0,3,0,0,2,0,0,6,2,0,7,0,0,4,1,0,24,322,322,120,64,11,0,34,0,7,1,21,10,1,2,2,0,6,0,5,2,4,0,23,1,80
MIA-RAB4B,59,13,192,1,1,11,13,0,34,6,0,8,17,4,31,0,0,3,1,0,2,0,0,6,0,0,7,1,0,4,1,1,24,322,322,120,46,9,0,21,13,2,6,10,13,3,0,1,1,6,0,7,0,3,1,22,0,80
C11orf94,64,15,192,3,2,11,15,2,34,1,0,8,16,2,31,2,0,3,1,1,2,0,0,6,0,0,7,0,0,4,2,3,24,322,322,113,49,6,1,17,13,7,1,13,14,1,2,0,0,6,0,7,0,4,0,19,-1,79
