GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,SLAM-seq-up,SLAM-seq-down,SLAM-seq-all,TTchem-seq-up,TTchem-seq-down,TTchem-seq-all,TT-seq-up,TT-seq-down,TT-seq-all,4sU-seq-up,4sU-seq-down,4sU-seq-all,MeRIP-seq-up,MeRIP-seq-down,MeRIP-seq-all,m1A-seq-up,m1A-seq-down,m1A-seq-all,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,m6Am-seq-up,m6Am-seq-down,m6Am-seq-all,mNET-seq-up,mNET-seq-down,mNET-seq-all,PRO-seq-up,PRO-seq-down,PRO-seq-all,all(check),all,unchange_RNA-seq,HN5_RNA-seq,unchange_SLAM-seq,HN5_SLAM-seq,unchange_TTchem-seq,HN5_TTchem-seq,unchange_TT-seq,HN5_TT-seq,unchange_4sU-seq,HN5_4sU-seq,unchange_MeRIP-seq,HN5_MeRIP-seq,unchange_m1A-seq,HN5_m1A-seq,unchange_Ribo-seq,HN5_Ribo-seq,unchange_m6Am-seq,HN5_m6Am-seq,unchange_mNET-seq,HN5_mNET-seq,unchange_PRO-seq,HN5_PRO-seq,Total_HN-score
ZNF674,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,-1,3
UTP14A,5,3,192,1,0,11,0,0,34,0,0,8,0,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,184,2,10,1,34,0,8,0,30,-1,3,0,2,0,6,0,7,0,4,0,23,1,3
ZNF678,7,3,192,0,0,11,2,0,34,0,0,8,0,4,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,4,11,0,32,2,8,0,27,-4,3,0,1,1,6,0,7,0,4,0,24,0,3
SGK3,6,3,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,2,7,0,0,4,1,1,24,322,322,183,3,11,0,33,1,8,0,30,1,3,0,2,0,6,0,5,-2,4,0,22,0,3
SHISA6,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
PCDHGA4,3,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,188,2,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,3
SHISA8,5,8,192,0,0,11,2,1,34,1,0,8,2,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,179,-3,11,0,31,1,7,1,29,2,3,0,1,1,6,0,7,0,4,0,23,1,3
TTN,2,2,192,0,0,11,0,0,34,0,0,8,4,2,31,1,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,188,0,11,0,34,0,8,0,25,2,2,1,2,0,6,0,7,0,4,0,24,0,3
C22orf15,3,6,192,0,0,11,4,1,34,0,1,8,3,5,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,5,0,24,322,322,183,-3,11,0,29,3,7,-1,23,-2,3,0,1,1,6,0,7,0,4,0,19,5,3
ZNF709,17,21,192,0,0,11,2,0,34,0,0,8,6,3,31,0,0,3,0,0,2,0,0,6,1,0,7,0,0,4,4,3,24,322,322,154,-4,11,0,32,2,8,0,22,3,3,0,2,0,6,0,6,1,4,0,17,1,3
PTPMT1,7,3,192,0,1,11,1,0,34,0,0,8,0,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,4,10,-1,33,1,8,0,30,-1,3,0,2,0,6,0,7,0,4,0,24,0,3
ZNF71,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
ZNF720,3,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,1,0,6,0,1,7,0,0,4,0,0,24,322,322,189,3,11,0,34,0,8,0,31,0,3,0,2,0,5,1,6,-1,4,0,24,0,3
TVP23C,9,6,192,1,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,177,3,9,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
SINHCAF,4,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,2,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
SPATA18,2,0,192,0,0,11,0,1,34,0,0,8,4,1,31,0,0,3,0,0,2,0,1,6,0,1,7,0,0,4,1,0,24,322,322,190,2,11,0,33,-1,8,0,26,3,3,0,2,0,5,-1,6,-1,4,0,23,1,3
AK3,4,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
PAX3,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
SIRT5,4,2,192,1,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,1,7,0,0,4,0,0,24,322,322,186,2,10,1,33,1,8,0,31,0,3,0,2,0,6,0,6,-1,4,0,24,0,3
TVP23B,4,3,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,185,1,10,1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,3
C1R,9,2,192,0,0,11,2,3,34,0,4,8,2,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,3,4,24,322,322,181,7,11,0,29,-1,4,-4,29,2,3,0,2,0,6,0,7,0,4,0,17,-1,3
BNIP2,7,2,192,0,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,1,7,0,0,4,0,0,24,322,322,183,5,10,-1,34,0,8,0,31,0,3,0,2,0,6,0,6,-1,4,0,24,0,3
ARFIP1,7,5,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,180,2,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,3
PASK,6,2,192,0,0,11,3,3,34,0,0,8,0,2,31,0,0,3,0,0,2,0,0,6,1,0,7,0,0,4,0,0,24,322,322,184,4,11,0,28,0,8,0,29,-2,3,0,2,0,6,0,6,1,4,0,24,0,3
TTPAL,4,2,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,2,11,0,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
RBM46,2,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,1,0,4,0,0,24,322,322,190,2,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,3,1,24,0,3
PTPN13,6,1,192,0,0,11,0,0,34,0,0,8,0,2,31,0,0,3,0,0,2,0,0,6,0,0,7,1,1,4,0,0,24,322,322,185,5,11,0,34,0,8,0,29,-2,3,0,2,0,6,0,7,0,2,0,24,0,3
ARFGEF3,3,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,189,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
PARP11,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,-1,3
ARFGEF2,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
CNPY4,9,6,192,0,1,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,177,3,10,-1,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
SLAMF1,5,1,192,0,0,11,0,1,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,4,11,0,33,-1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
ZNF738,7,4,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,1,7,0,0,4,0,0,24,322,322,181,3,11,0,34,0,8,0,31,0,3,0,1,1,6,0,6,-1,4,0,24,0,3
TRIM66,8,3,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,2,7,0,0,4,0,0,24,322,322,181,5,11,0,34,0,8,0,31,0,3,0,2,0,6,0,5,-2,4,0,24,0,3
UCHL5,5,3,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,184,2,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,3
RBP5,8,14,192,1,1,11,8,2,34,0,1,8,6,2,31,0,0,3,0,0,2,0,0,6,1,1,7,0,0,4,2,2,24,322,322,170,-6,9,0,24,6,7,-1,23,4,3,0,2,0,6,0,5,0,4,0,20,0,3
TAL1,1,1,192,0,0,11,2,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,190,0,11,0,32,2,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,3
PTGIS,3,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,188,2,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
SUPV3L1,4,0,192,0,0,11,0,0,34,0,0,8,0,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,188,4,11,0,34,0,8,0,30,-1,3,0,2,0,6,0,7,0,4,0,24,0,3
PTGR2,2,1,192,0,0,11,2,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,189,1,11,0,32,2,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
CNIH4,5,2,192,0,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,185,3,10,-1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,3
ANK1,5,4,192,0,0,11,0,0,34,0,0,8,1,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,1,24,322,322,183,1,11,0,34,0,8,0,30,1,3,0,1,1,6,0,7,0,4,0,22,0,3
TANC1,4,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
PTH1R,3,5,192,0,1,11,1,1,34,0,0,8,4,1,31,0,0,3,0,0,2,0,0,6,1,0,7,0,0,4,2,0,24,322,322,184,-2,10,-1,32,0,8,0,26,3,3,0,2,0,6,0,6,1,4,0,22,2,3
CDK19,4,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
PCDHA9,1,1,192,2,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,190,0,9,2,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
SPATA6,9,4,192,0,0,11,2,3,34,0,0,8,0,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,179,5,11,0,29,-1,8,0,30,-1,3,0,2,0,6,0,7,0,4,0,24,0,3
PCDHA5,0,0,192,0,0,11,0,0,34,0,0,8,3,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,192,0,11,0,34,0,8,0,28,3,3,0,2,0,6,0,7,0,4,0,24,0,3
ZNF697,3,2,192,0,0,11,1,0,34,0,0,8,2,2,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,1,11,0,33,1,8,0,27,0,3,0,1,1,6,0,7,0,4,0,24,0,3
ATP6V1D,7,3,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,182,4,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,-1,3
ATP6V1E1,6,3,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
PTH2R,2,0,192,0,0,11,2,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,190,2,11,0,32,2,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,-1,3
ZC3HAV1L,2,3,192,2,0,11,1,0,34,0,0,8,1,1,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,-1,9,2,33,1,8,0,29,0,3,0,1,1,6,0,7,0,4,0,24,0,3
TMEM9B,8,1,192,0,0,11,0,0,34,0,0,8,0,4,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,7,11,0,34,0,8,0,27,-4,3,0,2,0,6,0,7,0,4,0,24,0,3
TMF1,3,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,188,2,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,3
CDK16,9,6,192,1,0,11,0,0,34,0,0,8,1,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,177,3,10,1,34,0,8,0,29,0,3,0,2,0,6,0,7,0,4,0,23,-1,3
SHPK,5,3,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,184,2,11,0,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
ZNF700,4,5,192,0,0,11,2,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,183,-1,11,0,32,2,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,1,3
ABCB7,8,3,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,1,6,0,1,7,0,0,4,0,0,24,322,322,181,5,11,0,34,0,8,0,31,0,3,0,2,0,5,-1,6,-1,4,0,24,0,3
TMLHE,5,3,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,184,2,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,3
CNMD,1,8,192,0,0,11,5,2,34,0,0,8,5,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,183,-7,11,0,27,3,8,0,26,5,3,0,2,0,6,0,7,0,4,0,22,2,3
CNN2,9,7,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,176,2,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
XKR6,7,5,192,0,0,11,0,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,180,2,11,0,34,0,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,3
ATP8B2,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
SUV39H2,5,4,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,1,11,0,33,1,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
RAB35,9,6,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,177,3,10,1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,-1,3
ZNRF4,3,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,1,0,4,0,0,24,322,322,188,2,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,3,1,24,0,3
RAB18,5,1,192,0,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,4,10,-1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
YAP1,8,4,192,0,0,11,0,0,34,0,4,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,180,4,11,0,34,0,4,-4,31,0,3,0,1,1,6,0,7,0,4,0,22,2,3
ZP1,3,3,192,0,0,11,0,2,34,0,0,8,5,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,186,0,11,0,32,-2,8,0,25,4,3,0,2,0,6,0,7,0,4,0,23,1,3
OR10A5,1,0,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,2,4,2,0,24,322,322,191,1,11,0,33,1,8,0,30,1,3,0,2,0,6,0,7,0,2,-2,22,2,3
OPRK1,2,1,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,189,1,11,0,33,1,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,3
COPS4,7,3,192,0,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,4,10,-1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
ADCY4,3,4,192,0,0,11,0,0,34,0,0,8,5,2,31,0,0,3,0,0,2,0,0,6,0,1,7,0,0,4,2,0,24,322,322,185,-1,11,0,34,0,8,0,24,3,3,0,2,0,6,0,6,-1,4,0,22,2,3
TRAPPC2B,9,5,192,0,2,11,2,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,178,4,9,-2,32,2,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,-1,3
OPN1MW2,1,0,192,0,0,11,0,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,1,0,4,0,0,24,322,322,191,1,11,0,34,0,8,0,30,1,3,0,2,0,6,0,7,0,3,1,24,0,3
ANAPC16,4,2,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,2,11,0,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
OPHN1,7,3,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,1,7,0,0,4,0,1,24,322,322,182,4,11,0,33,1,8,0,31,0,3,0,2,0,6,0,6,-1,4,0,23,-1,3
BRD3OS,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
BZW2,5,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,1,6,0,0,7,0,0,4,0,0,24,322,322,186,4,11,0,34,0,8,0,31,0,3,0,2,0,5,-1,7,0,4,0,24,0,3
YTHDC2,6,3,192,1,0,11,0,0,34,0,0,8,0,2,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,3,10,1,34,0,8,0,29,-2,3,0,1,1,6,0,7,0,4,0,24,0,3
COPS9,10,6,192,0,0,11,0,0,34,0,0,8,0,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,176,4,11,0,34,0,8,0,30,-1,3,0,2,0,6,0,7,0,4,0,24,0,3
BYSL,8,6,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,178,2,11,0,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
RAB29,4,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,2,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
OOSP2,1,0,192,0,0,11,0,0,34,0,0,8,2,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,2,4,3,0,24,322,322,191,1,11,0,34,0,8,0,28,1,3,0,2,0,6,0,7,0,2,-2,21,3,3
SYT16,2,1,192,0,0,11,1,0,34,0,0,8,2,0,31,0,0,3,0,0,2,1,0,6,0,2,7,0,0,4,0,0,24,322,322,189,1,11,0,33,1,8,0,29,2,3,0,2,0,5,1,5,-2,4,0,24,0,3
OMG,1,0,192,0,0,11,3,3,34,0,0,8,3,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,191,1,11,0,28,0,8,0,27,2,3,0,2,0,6,0,7,0,4,0,24,0,3
BTRC,6,3,192,0,0,11,0,1,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,3,11,0,33,-1,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,3
OMA1,6,5,192,0,0,11,0,0,34,0,0,8,3,0,31,0,0,3,0,0,2,0,0,6,0,1,7,0,0,4,0,0,24,322,322,181,1,11,0,34,0,8,0,28,3,3,0,2,0,6,0,6,-1,4,0,24,0,3
SMIM10L2A,4,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
RAB33A,8,8,192,0,0,11,1,1,34,0,1,8,2,3,31,0,0,3,0,0,2,0,0,6,2,0,7,0,0,4,3,0,24,322,322,176,0,11,0,32,0,7,-1,26,-1,3,0,2,0,6,0,5,2,4,0,21,3,3
RALGPS2,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
BRI3BP,3,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,188,2,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
CDC25C,4,1,192,0,1,11,0,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,3,10,-1,34,0,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,3
CD33,8,5,192,0,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,2,1,24,322,322,179,3,10,-1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,21,1,3
OR11L1,1,0,192,0,0,11,0,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,1,0,4,0,0,24,322,322,191,1,11,0,34,0,8,0,30,1,3,0,2,0,6,0,7,0,3,1,24,0,3
ZNF98,6,2,192,0,0,11,1,1,34,0,0,8,1,1,31,0,0,3,0,0,2,1,0,6,1,1,7,0,0,4,1,3,24,322,322,184,4,11,0,32,0,8,0,29,0,3,0,2,0,5,1,5,0,4,0,20,-2,3
AOPEP,7,2,192,0,2,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,183,5,9,-2,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,-1,3
TPSAB1,5,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
CDC37L1,6,1,192,0,1,11,2,0,34,0,0,8,0,3,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,5,10,-1,32,2,8,0,28,-3,3,0,2,0,6,0,7,0,4,0,24,0,3
OR2AG1,1,0,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,191,1,11,0,33,1,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,3
OR2A5,0,0,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,192,0,11,0,33,1,8,0,30,1,3,0,1,1,6,0,7,0,4,0,24,0,3
SLITRK5,3,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,189,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
ZNF93,10,5,192,0,0,11,1,0,34,0,0,8,0,3,31,0,0,3,1,0,2,1,0,6,0,2,7,0,0,4,0,0,24,322,322,177,5,11,0,33,1,8,0,28,-3,3,0,1,1,5,1,5,-2,4,0,24,0,3
APBB2,5,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,1,3,1,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,186,4,11,0,34,0,8,0,31,0,2,-1,1,1,6,0,7,0,4,0,23,-1,3
RAP2B,3,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,188,2,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
ALAD,8,3,192,0,2,11,0,0,34,0,0,8,2,1,31,0,0,3,0,0,2,0,0,6,0,1,7,0,0,4,0,0,24,322,322,181,5,9,-2,34,0,8,0,28,1,3,0,2,0,6,0,6,-1,4,0,24,0,3
APAF1,2,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,190,2,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,3
SOAT1,4,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,3,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,3
