 GeneName,HN5_42.4℃(from 39.5±0.2°C):No_description.,HN5_39℃:60min.,HN5_42℃:30min.,HN5_38℃:120min/day_3days,HN5_42℃:60min.,HN5_43℃:45min.,HN5_42℃:45min.,HN5_42℃:135min.,HN5_38℃:720min.,HN5_35 ± 1°C:6d.,HN5_39℃:1440min.,HN5_42℃:20min.,HN5_43℃:25min.,HN5_45℃:60min.,HN5_39℃:180min.,HN5_43℃:30min.,HN5_36℃:120min./day_13days.,HN5_44℃:120min.,HN5_41.5 °C ± 0.2 °C:15min.,HN5_42℃:480min.,HN5_39.5℃:3d.,HN5_43℃:31min.,HN5_43℃:32min.,HN5_43℃:33min.,HN5_43℃:34min.,HN5_43℃:35min.,HN5_44℃_48℃:120min._480min.,HN5_42℃:25min.,HN5_42℃:40min.,HN5_42℃:12min.,HN5_42℃:2.5min.,HN5_45℃:15min.
Ly6g6c,0,1,6,-1,4,1,0,0,0,-1,0,1,0,5,0,2,3,2,0,0,0,0,0,1,1,0,0,0,1,1,-1,0
Hspa4l,3,0,4,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,2,0,-2,0
Clu,3,1,1,0,9,0,1,3,0,0,0,5,0,0,0,0,0,2,1,1,0,0,0,0,-1,-1,1,0,3,0,-2,0
Hsp90aa1,15,0,2,0,4,0,0,1,0,0,0,0,-1,0,0,2,7,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2
Xirp1,3,0,1,0,7,1,1,1,0,0,0,-4,0,2,0,17,0,2,1,0,0,0,0,0,0,1,0,0,0,1,-1,0
Uspl1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,-1,1,0,0,0
Arc,6,-2,0,0,7,2,2,1,0,0,0,-8,0,0,0,5,0,2,0,0,0,0,0,2,1,0,0,-1,3,1,0,2
Dnaja1,7,0,1,0,2,0,0,2,0,0,0,0,-1,0,0,5,4,2,2,0,0,0,0,0,0,0,1,0,2,0,-2,1
Jun,13,-4,0,0,2,0,0,0,0,0,0,3,1,2,0,4,2,3,0,0,0,0,0,1,1,0,0,-1,1,0,0,0
Nr4a3,4,4,0,0,3,-1,0,2,0,0,0,0,0,0,0,1,-1,0,5,0,0,0,0,1,2,-1,0,0,0,1,-1,0
Cldn6,-2,0,0,0,9,0,0,1,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
Best2,0,0,7,0,4,1,0,2,0,0,0,2,1,3,0,1,0,3,0,1,0,0,0,0,0,0,0,2,4,4,0,0
Acta1,-1,2,3,0,7,0,0,0,0,0,0,3,1,5,0,5,-1,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,0
Pla2g12b,0,0,-1,0,2,0,0,0,0,0,0,1,0,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
