Source of Stress (Condition),temperature,time
SRR9257638,45℃（±0.2),30min.
SRR9257639,45℃（±0.2),30min.
SRR9257640,45℃（±0.2),30min.
SRR9257641,45℃（±0.2),30min.
SRR9257642,45℃（±0.2),30min.
SRR9257643,45℃（±0.2),30min.
SRR9257644,45℃（±0.2),30min.
SRR9257645,45℃（±0.2),30min.
SRR11684069,41.5℃,420min.
SRR11684070,41.5℃,420min.
SRR11684071,41.5℃,420min.
SRR11684072,41.5℃,420min.
SRR11684073,41.5℃,420min.
SRR11684074,41.5℃,420min.
SRR10761036,42℃,240min.
SRR10761037,42℃,240min.
SRR10761038,42℃,240min.
SRR1061343,39℃,1440min.
SRR1061344,39℃,1440min.
SRR11195423,42℃,45min.
SRR11195425,42℃,45min.
SRR11195422,42℃,45min.
SRR11195424,42℃,45min.
SRR11195426,42℃,45min.
SRR11195427,42℃,45min.
SRR11195428,42℃,45min.
SRR11195429,42℃,45min.
SRR11195431,42℃,45min.
SRR11195433,42℃,45min.
SRR11195430,42℃,45min.
SRR11195432,42℃,45min.
SRR8334015,42℃,15min.
SRR8334016,42℃,15min.
SRR8334017,42℃,30min.
SRR8334018,42℃,30min.
SRR8334021,42℃,15min.
SRR8334022,42℃,15min.
SRR8334023,42℃,30min.
SRR8334024,42℃,30min.
SRR8334027,42℃,15min.
SRR8334028,42℃,15min.
SRR8334029,42℃,30min.
SRR8334030,42℃,30min.
SRR8334035,42℃,30min.
SRR8334036,42℃,30min.
SRR8334037,42℃,30min.
SRR8334038,42℃,30min.
SRR10953094,42℃,65min.
SRR10953095,42℃,65min.
SRR10953096,42℃,65min.
SRR10953097,42℃,65min.
SRR10953098,42℃,65min.
SRR8669175,42℃,9×60min.
SRR8669176,42℃,9×60min.
SRR8669177,42℃,9×60min.
SRR8669167,42℃,9×60min.
SRR8669168,42℃,9×60min.
SRR8669169,42℃,9×60min.
SRR8669170,42℃,9×60min.
SRR8669171,42℃,9×60min.
SRR12267715,42℃,60min.
SRR12267716,42℃,60min.
SRR12267717,42℃,60min.
SRR12267718,42℃,60min.
SRR12267719,42℃,60min.
SRR12267720,42℃,60min.
SRR12267721,42℃,60min.
SRR12267722,42℃,60min.
SRR13436390,42℃,60min.
SRR13436391,42℃,60min.
SRR13436392,42℃,60min.
SRR13436393,42℃,60min.
SRR13436394,42℃,60min.
SRR13436395,42℃,60min.
SRR13436396,42℃,60min. + recovery
SRR13436397,42℃,60min. + recovery
SRR13436398,42℃,60min. + recovery
SRR13436399,42℃,60min. + recovery
SRR13436400,42℃,60min. + recovery
SRR13436401,42℃,60min. + recovery
SRR13510258,43℃,30min.
SRR13510259,43℃,60min.
SRR13510260,43℃,180min.
SRR13510262,43℃,30min.
SRR13510263,43℃,60min.
SRR13510264,43℃,180min.
SRR13510285,43℃,120min.
SRR13510286,43℃,120min.
SRR13510287,43℃,120min.
SRR13510288,43℃,120min.
SRR13510289,43℃,120min.
SRR13510290,43℃,120min.
SRR13510291,43℃,120min.
SRR13510292,43℃,120min.
SRR13510293,43℃,120min.
SRR13510294,43℃,120min.
SRR13510331,43℃,120min.
SRR13510332,43℃,120min.
SRR13510333,43℃,120min.
SRR13510334,43℃,120min.
SRR13510335,43℃,120min.
SRR13510336,43℃,120min.
SRR13510337,43℃,120min.
SRR13510338,43℃,120min.
SRR13510339,43℃,120min.
SRR13510340,43℃,120min.
SRR13510341,43℃,120min.
SRR13510342,43℃,120min.
SRR13510254,43℃,120min.
SRR13510256,43℃,120min.
SRR18248312,43℃,120min.
SRR18248316,43℃,120min.
SRR18248314,43℃,120min.
SRR18248318,43℃,120min.
SRR17038288,43℃,105min.
SRR17038289,43℃,105min.
SRR17038292,43℃,105min.
SRR17038293,43℃,105min.
SRR17038296,43℃,105min.
SRR17038297,43℃,105min.
SRR17038300,43℃,105min.
SRR17038301,43℃,105min.
SRR17038304,43℃,105min.
SRR17038305,43℃,105min.
SRR17038308,43℃,105min.
SRR17038309,43℃,105min.
SRR13510346,43℃,105min.
SRR13510347,43℃,105min.
SRR13510348,43℃,105min.
SRR18248916,43℃,120min.
SRR18248920,43℃,120min.
SRR18248924,43℃,120min.
SRR18248914,43℃,120min.
SRR18248918,43℃,120min.
SRR18248922,43℃,120min.
SRR5756320,44℃,60min.
SRR5756321,44℃,60min.
SRR5756322,44℃,60min.
SRR5756323,44℃,60min.
SRR5756324,44℃,120min.
SRR5756325,44℃,120min.
SRR5756326,44℃,120min.
SRR5756327,44℃,120min.
SRR5756344,44℃,60min.
SRR5756345,44℃,60min.
SRR5756346,44℃,60min.
SRR5756347,44℃,60min.
SRR5756348,44℃,120min.
SRR5756349,44℃,120min.
SRR5756350,44℃,120min.
SRR5756351,44℃,120min.
SRR3000786,43℃,240min.
SRR3000787,43℃,240min.
SRR5749642,43,30min.
SRR5749643,43,30min.
SRR5749644,43,30min.
SRR5749645,43,30min.
SRR5749646,43,30min.
SRR5749647,43,30min.
